N	2gram	Losev_Prob_4	VerxiiNi
1	и в	20	26
2	таким образом	8	22
3	с тем	4	18
4	вместе с	5	15
5	в этом	9	15
6	точки зрения	14	13
7	как бы	4	12
8	в том	20	11
9	может быть	9	10
10	не только	24	10
11	и с	7	10
12	связи с	3	9
13	что в	3	9
14	но и	14	9
15	в области	3	9
16	так как	5	9
17	с другой	7	8
18	но не	5	8
19	и не	28	8
20	том что	12	7
21	но все	3	7
22	из них	3	7
23	к нему	3	7
24	то что	15	7
25	потому что	15	7
26	но в	8	7
27	в конце	2	6
28	к тому	3	6
29	и потому	7	6
30	того же	2	6
31	несмотря на	4	6
32	всяком случае	4	6
33	что и	3	6
34	все же	2	6
35	так и	10	6
36	все это	9	6
37	в отношении	4	6
38	все эти	16	6
39	с точки	11	6
40	во всяком	8	6
41	в себе	12	6
42	мы должны	3	6
43	о том	5	6
44	и к	3	5
45	крайней мере	6	5
46	тому же	2	5
47	одной из	4	5
48	в его	3	5
49	или менее	2	5
50	так же	5	5
51	а не	7	5
52	того чтобы	2	5
53	для того	3	5
54	не имеет	4	5
55	и для	4	5
56	более или	2	5
57	по крайней	6	5
58	учение о	3	4
59	в этих	5	4
60	и от	6	4
61	что он	8	4
62	в нем	5	4
63	в смысле	5	4
64	из которых	3	4
65	в самом	2	4
66	в котором	2	4
67	не может	5	4
68	и только	4	4
69	а в	4	4
70	то же	7	4
71	и что	2	4
72	и тогда	2	4
73	и по	2	4
74	с другими	3	4
75	в виде	22	4
76	он не	2	4
77	в то	4	4
78	только в	23	4
79	то есть	27	4
80	в этой	4	4
81	далеко не	2	4
82	не менее	10	3
83	за собой	2	3
84	что это	2	3
85	если бы	8	3
86	но по	2	3
87	как о	3	3
88	хотя бы	7	3
89	точно так	3	3
90	ясно что	7	3
91	можно сказать	5	3
92	для него	3	3
93	так что	6	3
94	и как	3	3
95	в своем	3	3
96	в качестве	10	3
97	случае не	5	3
98	и если	5	3
99	и о	5	3
100	не вполне	2	3
101	тем не	10	3
102	с ней	2	3
103	в связи	3	3
104	при этом	6	3
105	уже не	5	3
106	в значительной	2	3
107	и даже	9	3
108	в которой	2	3
109	в таком	6	3
110	в результате	8	3
111	в других	2	3
112	в одном	4	3
113	уже в	4	2
114	с его	2	2
115	ни было	2	2
116	только не	4	2
117	именно в	7	2
118	перестает быть	2	2
119	из себя	2	2
120	в них	5	2
121	только для	3	2
122	еще только	2	2
123	на все	2	2
124	прежде всего	11	2
125	или иной	13	2
126	уже давно	4	2
127	ему в	2	2
128	а также	6	2
129	к его	3	2
130	в начале	3	2
131	что именно	2	2
132	по своему	6	2
133	том виде	2	2
134	что мы	3	2
135	тот же	2	2
136	еще не	7	2
137	со всеми	2	2
138	и больше	2	2
139	этот путь	2	2
140	общего с	2	2
141	конечно не	3	2
142	значительной мере	2	2
143	вплоть до	3	2
144	для всех	3	2
145	той или	14	2
146	но если	6	2
147	и является	3	2
148	не к	2	2
149	жизни и	5	2
150	во всех	4	2
151	только что	2	2
152	отличается от	4	2
153	всех других	2	2
154	для этого	2	2
155	в разных	4	2
156	не было	3	2
157	если не	3	2
158	мы имеем	6	2
159	можно только	2	2
160	в самой	4	2
161	в одно	6	2
162	свидетельствует о	2	2
163	смотреть на	2	2
164	либо в	2	2
165	и на	3	2
166	можно назвать	2	2
167	сказать что	7	2
168	не в	13	2
169	мы можем	3	2
170	и наконец	4	2
171	ничего общего	5	2
172	или по	2	2
173	же самое	6	2
174	и все	8	2
175	так чтобы	2	2
176	и это	2	2
177	из этого	3	2
178	очень много	2	2
179	относится к	2	2
180	в виду	6	2
