N	3gram	Losev_Prob_4	Myslijsy
1	в том что	8	7
2	по крайней мере	6	5
3	о том что	3	5
4	то же самое	6	4
5	тем не менее	10	4
6	сам по себе	6	4
7	для того чтобы	2	4
8	во всяком случае	4	3
9	не только не	4	3
10	с точки зрения	11	3
11	слова то есть	2	3
12	вместе с тем	3	3
13	в то же	2	3
14	и т д	3	3
15	на самом деле	3	3
16	сами по себе	2	2
17	в данном случае	5	2
18	хотя бы и	2	2
19	в том смысле	2	2
20	не что иное	2	2
21	то и другое	3	2
22	мы имеем дело	3	2
23	то есть в	6	2
24	только в том	3	2
25	что иное как	2	2
