N	2gram	Losev_Dial_2	Istorich
1	т е	30	29
2	что он	6	24
3	и т	17	19
4	не только	19	18
5	т д	15	18
6	может быть	20	17
7	никогда не	9	15
8	и в	19	15
9	мы имеем	3	15
10	но и	12	14
11	так как	14	14
12	так же	2	13
13	что в	7	12
14	а в	4	12
15	то что	14	12
16	об этом	3	11
17	в этих	3	11
18	и не	30	11
19	в этом	8	11
20	что они	6	10
21	его в	3	10
22	то же	12	10
23	с тем	2	9
24	еще не	4	9
25	все же	4	9
26	в другом	4	9
27	потому что	14	9
28	связи с	4	8
29	он не	4	8
30	мы видим	2	8
31	том что	10	7
32	и пр	5	7
33	в нем	10	7
34	вместе с	2	7
35	сих пор	2	7
36	в царство	2	7
37	таким образом	4	7
38	не в	8	7
39	ничего не	3	7
40	связана с	2	6
41	так что	7	6
42	до сих	2	6
43	мы уже	8	6
44	что это	10	6
45	как бы	14	6
46	то это	2	6
47	что и	5	6
48	и что	5	6
49	в том	14	6
50	только в	5	6
51	но в	2	6
52	и есть	4	5
53	с этим	3	5
54	прежде всего	8	5
55	в одном	4	5
56	говорят что	4	5
57	к тому	2	5
58	но все	2	5
59	как в	2	5
60	она не	8	5
61	было бы	3	5
62	же как	3	5
63	на него	2	5
64	так и	10	5
65	что она	14	5
66	не может	9	5
67	в связи	4	5
68	а не	16	5
69	к нему	4	5
70	с одной	2	4
71	а потом	4	4
72	вопрос о	3	4
73	но это	7	4
74	в этой	3	4
75	в одной	4	4
76	при этом	4	4
77	или на	2	4
78	но он	4	4
79	в ней	2	4
80	что эти	2	4
81	после этого	3	4
82	дело не	2	4
83	того как	2	4
84	и они	2	4
85	они не	3	4
86	и с	5	4
87	тем что	2	4
88	в себе	15	4
89	что здесь	2	4
90	мы должны	2	4
91	все эти	2	4
92	всех этих	3	3
93	в состоянии	2	3
94	и его	5	3
95	как это	7	3
96	и она	2	3
97	в каких	2	3
98	же и	9	3
99	о том	5	3
100	а именно	5	3
101	в их	2	3
102	все это	4	3
103	хотя в	2	3
104	того что	6	3
105	в очень	2	3
106	что этот	3	3
107	уже знаем	3	3
108	как будто	7	3
109	что мы	2	3
110	как он	4	3
111	и это	5	3
112	же мы	3	2
113	уже в	4	2
114	во время	2	2
115	я не	6	2
116	зависит от	2	2
117	не было	3	2
118	самого начала	2	2
119	следовательно не	2	2
120	и более	3	2
121	в мифе	16	2
122	могут быть	4	2
123	перед нами	2	2
124	с другой	5	2
125	это не	10	2
126	ко мне	2	2
127	в жизни	2	2
128	на самом	2	2
129	в тех	2	2
130	нисколько не	4	2
131	что у	2	2
132	ни в	10	2
133	да и	6	2
134	именно в	2	2
135	как и	10	2
136	есть ли	5	2
137	в силу	5	2
138	но не	6	2
139	есть и	6	2
140	одно из	4	2
141	не что	3	2
142	кроме того	3	2
143	и может	6	2
144	и часто	2	2
145	же эти	2	2
146	и если	4	2
147	и из	3	2
148	мы в	2	2
149	например в	2	2
150	на его	2	2
151	в сущности	2	2
152	которые были	2	2
153	и когда	4	2
154	хотя бы	4	2
155	ее в	2	2
156	с ее	2	2
157	из них	3	2
158	во всех	2	2
159	и их	3	2
160	в некоторых	2	2
161	и только	4	2
162	другой стороны	4	2
163	в разных	3	2
164	с самого	2	2
165	не просто	12	2
166	имеется в	2	2
167	когда мы	3	2
168	самом деле	4	2
169	то не	3	2
170	тут же	4	2
171	в системе	2	2
172	и по	4	2
173	д и	2	2
174	его не	2	2
175	или в	2	2
176	с ними	2	2
177	и то	7	2
178	сказать что	10	2
179	также что	2	2
180	она и	2	2
181	что иное	3	2
182	это только	3	2
183	это за	3	2
184	будто бы	3	2
185	иметь в	2	2
186	их в	2	2
187	в которой	2	2
188	иное как	3	2
189	в виду	5	2
