N	2gram	Voloshinov_1	VerxiiNi
1	и в	13	26
2	таким образом	6	22
3	в этом	2	15
4	точки зрения	7	13
5	как бы	6	12
6	в том	2	11
7	может быть	8	10
8	не только	6	10
9	что в	3	9
10	но и	3	9
11	в области	2	9
12	так как	3	9
13	с другой	2	8
14	в общем	2	8
15	и не	8	8
16	связанные с	2	7
17	том что	2	7
18	одной стороны	2	7
19	то что	6	7
20	с одной	2	7
21	но в	4	7
22	к тому	2	6
23	несмотря на	2	6
24	все же	5	6
25	так и	3	6
26	все это	4	6
27	в отношении	2	6
28	все эти	2	6
29	с точки	5	6
30	в себе	3	6
31	мы должны	6	6
32	и т.д	5	6
33	и к	2	5
34	в его	7	5
35	никогда не	3	5
36	так же	2	5
37	лишь в	4	5
38	а не	2	5
39	не имеет	2	5
40	и для	3	5
41	учение о	2	4
42	в нем	2	4
43	в самом	2	4
44	не может	8	4
45	а в	2	4
46	то же	4	4
47	в течение	2	4
48	только в	6	4
49	не менее	2	3
50	если бы	2	3
51	подойти к	2	3
52	хотя бы	5	3
53	для него	2	3
54	с самого	2	3
55	и при	2	3
56	отношению к	3	3
57	к сожалению	2	3
58	в связи	2	3
59	при этом	2	3
60	в которой	3	3
61	с этой	2	3
62	в одном	3	3
63	не исчерпывается	2	2
64	уже в	2	2
65	самого начала	2	2
66	пути к	2	2
67	связанных с	2	2
68	связана с	3	2
69	в них	2	2
70	превращается в	3	2
71	не как	3	2
72	прежде всего	9	2
73	тех пор	4	2
74	а также	2	2
75	ни один	3	2
76	тот же	2	2
77	общего с	3	2
78	вслед за	2	2
79	и является	2	2
80	в процессе	5	2
81	те же	2	2
82	с телом	2	2
83	наконец в	2	2
84	не в	3	2
85	мы можем	4	2
86	и наконец	5	2
87	ничего общего	3	2
88	и все	3	2
89	между тем	2	2
