N	2gram	Voloshinov_1	Psycholo
1	в том	6	37
2	и в	19	32
3	том что	3	21
4	то что	8	21
5	таким образом	17	21
6	что в	4	20
7	так же	7	18
8	может быть	26	18
9	что и	2	17
10	не может	24	17
11	точки зрения	34	17
12	самом деле	10	16
13	того чтобы	5	14
14	что он	2	13
15	при этом	8	13
16	то же	7	13
17	для того	4	13
18	в этом	16	13
19	по себе	4	12
20	если мы	11	12
21	в самом	10	12
22	не только	8	12
23	так как	2	12
24	было бы	4	11
25	в основе	2	11
26	как и	12	10
27	но и	8	10
28	и не	26	10
29	с точки	20	10
30	никогда не	2	9
31	что все	2	9
32	как в	4	9
33	в своих	2	9
34	тем что	2	9
35	не менее	4	8
36	не в	5	8
37	той же	2	8
38	того что	3	8
39	к тому	2	7
40	ясно что	5	7
41	мы знаем	5	7
42	и как	3	7
43	а не	7	7
44	в сущности	3	7
45	все эти	7	7
46	можно было	2	7
47	и его	19	7
48	сказать что	4	7
49	только в	9	7
50	тот же	4	6
51	он не	3	6
52	как бы	15	6
53	целый ряд	3	6
54	те же	5	6
55	формы и	3	6
56	же самое	3	6
57	о том	2	6
58	если бы	2	6
59	отнюдь не	6	5
60	в ней	4	5
61	далеко не	4	5
62	до сих	8	5
63	сих пор	8	5
64	все это	3	5
65	как раз	2	5
66	этом отношении	3	5
67	на самом	3	5
68	только на	4	5
69	и даже	2	5
70	и на	4	5
71	в то	3	5
72	и более	2	4
73	же как	2	4
74	от того	4	4
75	с этой	2	4
76	тем не	2	4
77	в чем	2	4
78	в действительности	2	4
79	и той	2	4
80	из этого	2	4
81	совершенно не	3	4
82	в нем	10	4
83	все же	8	4
84	из них	3	4
85	жизни и	2	4
86	а в	4	4
87	и все	5	4
88	одной и	2	4
89	к одному	4	4
90	не имеет	3	4
91	и для	11	4
92	и те	7	4
93	в данном	4	4
94	в языке	4	4
95	тому что	2	4
96	и с	2	4
97	говорит он	2	4
98	могут быть	2	4
99	с этим	4	4
100	ту же	2	4
101	и это	3	4
102	ничего не	6	4
103	как она	2	4
104	в сознании	2	4
105	между тем	3	4
106	не могут	3	3
107	в частности	2	3
108	хотя бы	5	3
109	с другой	5	3
110	не как	2	3
111	формы в	2	3
112	в конце	5	3
113	и к	3	3
114	до конца	5	3
115	в свою	2	3
116	в своей	3	3
117	конце концов	3	3
118	с ее	2	3
119	так и	11	3
120	то как	2	3
121	во всех	7	3
122	и их	2	3
123	и ее	3	3
124	бы и	2	3
125	в отношении	4	3
126	что же	4	3
127	и других	2	3
128	этот вопрос	5	3
129	что не	2	3
130	должны быть	3	3
131	и он	2	3
132	как к	2	3
133	в смысле	6	3
134	в каком	3	3
135	мы должны	3	3
136	отношении к	4	3
137	но в	7	3
138	мы не	6	3
139	в виду	2	3
140	мы можем	2	3
141	в узком	2	2
142	не существует	3	2
143	место в	3	2
144	этого материала	2	2
145	зависит от	2	2
146	и этот	2	2
147	однако не	2	2
148	психологии и	7	2
149	понятно что	3	2
150	то ни	8	2
151	в какой	3	2
152	и от	3	2
153	точка зрения	7	2
154	одного и	5	2
155	с другими	3	2
156	в каждом	7	2
157	в объяснении	2	2
158	во всяком	5	2
159	сводится к	3	2
160	и здесь	6	2
161	ни в	2	2
162	в романе	2	2
163	же время	3	2
164	и при	3	2
165	свою очередь	2	2
166	еще не	4	2
167	того же	6	2
168	она не	2	2
169	два основных	2	2
170	и тот	4	2
171	из которых	2	2
172	вовсе не	5	2
173	не имеют	3	2
174	и следовательно	3	2
175	в его	6	2
176	всяком случае	2	2
177	в ее	7	2
178	как он	2	2
179	имеет значение	2	2
180	бы то	8	2
181	в процессе	14	2
182	всех остальных	2	2
183	не остается	2	2
184	себе и	2	2
185	другой стороны	6	2
186	не было	3	2
187	форм и	4	2
188	к своему	2	2
189	здесь мы	4	2
190	именно на	2	2
191	на этот	3	2
192	отличие от	5	2
193	в таком	2	2
194	быть дано	2	2
195	в себе	2	2
196	и вообще	2	2
197	и только	2	2
198	явлений и	2	2
199	там где	2	2
200	в которой	3	2
201	одни и	5	2
