N	2gram	Tiupa_Hudo_1	Myshleni
1	в том	18	28
2	и в	19	28
3	то что	4	28
4	в этом	11	27
5	того что	4	24
6	потому что	3	22
7	не может	7	19
8	том что	8	19
9	таким образом	3	18
10	что он	3	18
11	только в	5	18
12	что в	6	17
13	не только	16	16
14	так же	2	15
15	может быть	14	13
16	сказать что	4	13
17	точки зрения	10	13
18	тому что	2	11
19	и не	15	11
20	как бы	9	11
21	в отношении	3	10
22	к тому	4	10
23	но и	10	10
24	по отношению	9	10
25	но не	11	10
26	отношению к	9	10
27	того чтобы	2	10
28	с точки	3	10
29	между собой	2	9
30	никогда не	2	8
31	в самом	5	8
32	еще не	3	8
33	тем самым	4	8
34	для того	2	8
35	того же	2	7
36	если бы	3	7
37	в нем	5	7
38	в своем	2	7
39	заключается в	2	7
40	отношение к	5	7
41	он не	4	7
42	то же	10	7
43	между ними	4	7
44	в которой	2	7
45	и к	3	6
46	и как	3	6
47	и что	3	6
48	для него	4	6
49	в то	6	6
50	его в	2	6
51	как и	2	6
52	можно сказать	5	6
53	так и	11	6
54	приводит к	5	6
55	как раз	3	6
56	в чем	2	6
57	в области	6	6
58	это не	2	5
59	в пределах	3	5
60	и тем	2	5
61	и на	2	5
62	но в	7	5
63	речи и	3	5
64	то в	2	5
65	могут быть	4	5
66	в этой	2	5
67	я не	2	4
68	именно в	2	4
69	в частности	13	4
70	в нашем	2	4
71	не в	7	4
72	например в	3	4
73	совпадает с	2	4
74	к жизни	2	4
75	на основе	2	4
76	мы имеем	6	4
77	он должен	3	4
78	в качестве	24	4
79	одного и	2	4
80	своей природе	2	4
81	что и	2	4
82	во всех	3	4
83	и того	2	4
84	в той	3	4
85	и то	4	4
86	в себе	9	4
87	из этих	3	3
88	в ходе	5	3
89	как это	5	3
90	всякий раз	2	3
91	есть в	2	3
92	отличается от	2	3
93	при этом	13	3
94	мог бы	3	3
95	хотя и	3	3
96	в целом	3	3
97	в их	5	3
98	во втором	4	3
99	в системе	2	3
100	и по	2	3
101	в основе	4	3
102	но как	2	3
103	по своей	7	3
104	с его	6	3
105	и составляет	3	3
106	в них	2	3
107	по себе	2	3
108	иначе говоря	4	3
109	один из	2	3
110	в его	9	3
111	как в	2	3
112	в себя	2	3
113	до известной	2	3
114	а не	9	3
115	и его	12	3
116	представляет собой	10	3
117	не знает	3	3
118	и т.д	3	3
119	отношении к	2	3
120	отношения к	2	3
121	не менее	3	2
122	и другие	2	2
123	из которого	4	2
124	в этих	3	2
125	с другой	7	2
126	была бы	3	2
127	прежде всего	4	2
128	а только	4	2
129	и более	2	2
130	имеем дело	2	2
131	имеет место	2	2
132	известной степени	3	2
133	и др	2	2
134	могут оказаться	2	2
135	если мы	2	2
136	все это	2	2
137	другой стороны	5	2
138	принадлежит к	3	2
139	все эти	2	2
140	у одного	2	2
141	для возникновения	2	2
142	но он	3	2
143	к его	2	2
144	с ним	2	2
145	между двумя	2	2
146	состоит в	16	2
147	к более	2	2
148	языка в	4	2
149	в одном	2	2
150	этом смысле	3	2
151	не с	2	2
152	по своему	2	2
153	видим в	2	2
154	в своей	5	2
155	из этого	2	2
156	другим и	2	2
157	этого слова	2	2
158	втором случае	2	2
159	не могло	2	2
160	ее в	2	2
161	не на	3	2
162	а в	12	2
163	с другими	4	2
164	в данном	4	2
165	к которому	4	2
166	в другом	3	2
