N	2gram	Ircho_Kome_1	Vvedenie
1	и т	9	42
2	т д	4	36
3	т е	13	35
4	и в	22	32
5	в том	11	31
6	в этом	3	30
7	может быть	9	26
8	том что	12	26
9	не только	10	22
10	таким образом	8	19
11	то что	2	16
12	потому что	5	15
13	так как	4	15
14	не может	2	14
15	в самом	2	13
16	в нем	4	13
17	о том	8	13
18	со стороны	2	13
19	в их	4	12
20	и не	8	12
21	в его	5	12
22	только в	3	12
23	как мы	4	11
24	ясно что	4	11
25	что в	6	10
26	но в	4	9
27	и как	3	9
28	в истории	5	9
29	между тем	5	9
30	то же	6	9
31	не менее	3	8
32	с другой	5	8
33	тем не	2	8
34	не в	6	8
35	именно в	4	8
36	прежде всего	5	7
37	вопрос о	3	7
38	точки зрения	4	7
39	но не	2	7
40	было бы	2	7
41	все же	3	7
42	до сих	2	6
43	же время	4	6
44	н э	3	6
45	один из	5	6
46	но и	11	6
47	все это	5	6
48	и даже	5	6
49	в то	10	6
50	его в	3	6
51	вовсе не	2	6
52	до н	2	6
53	как и	9	6
54	в качестве	4	6
55	сих пор	2	6
56	и его	8	6
57	тем что	4	6
58	уже в	5	5
59	и тем	2	5
60	в целом	3	5
61	другой стороны	5	5
62	в них	3	5
63	в г	11	5
64	по своему	3	5
65	вместе с	2	5
66	т п	5	5
67	в течение	3	5
68	могут быть	3	5
69	независимо от	2	4
70	времени и	2	4
71	одной стороны	3	4
72	всяком случае	2	4
73	в котором	4	4
74	по отношению	3	4
75	этом отношении	3	4
76	еще и	2	4
77	с одной	3	4
78	в и	2	4
79	а в	6	4
80	как это	3	4
81	е в	2	4
82	нельзя не	2	4
83	что он	6	4
84	еще не	2	4
85	отношению к	3	4
86	только что	2	4
87	как раз	3	4
88	в виде	3	4
89	во всяком	2	4
90	и ее	3	4
91	в себе	2	4
92	совсем не	2	3
93	в частности	3	3
94	в конце	6	3
95	к тому	6	3
96	да и	3	3
97	в этой	7	3
98	на этом	2	3
99	до конца	2	3
100	при этом	5	3
101	такого рода	6	3
102	хотя и	3	3
103	из наиболее	2	3
104	к нему	2	3
105	мы видели	2	3
106	отношение к	3	3
107	во второй	3	3
108	из них	10	3
109	до нас	5	3
110	и других	7	3
111	и вот	4	3
112	так же	3	3
113	греции и	2	3
114	и на	3	3
115	в результате	4	3
116	в начале	3	3
117	в известном	2	3
118	однако в	3	3
119	к этому	4	3
120	в чем	3	3
121	одной из	3	3
122	в одном	8	3
123	в сущности	2	3
124	а также	4	3
125	что и	4	3
126	на основании	3	3
127	в в	4	3
128	как будто	2	3
129	об отношении	2	3
130	в области	2	3
131	же как	3	2
132	казалось бы	3	2
133	все более	3	2
134	для этого	2	2
135	в отношении	6	2
136	это однако	2	2
137	это еще	2	2
138	из его	4	2
139	но это	2	2
140	и сам	3	2
141	несмотря на	4	2
142	из числа	3	2
143	мог бы	2	2
144	говоря уже	2	2
145	не к	2	2
146	не говоря	2	2
147	в до	2	2
148	в форме	2	2
149	меньшей мере	2	2
150	именно на	2	2
151	не мог	3	2
152	в принципе	2	2
153	каждый из	3	2
154	не следует	2	2
155	в более	3	2
156	и с	3	2
157	чем же	2	2
158	и здесь	2	2
159	же самое	2	2
160	конце концов	4	2
161	так и	5	2
162	по содержанию	3	2
163	для них	2	2
164	о которых	5	2
165	у нас	3	2
166	должна была	2	2
167	того же	2	2
168	что к	2	2
169	второй половине	2	2
170	того как	3	2
171	iv в	5	2
172	по меньшей	2	2
173	из которых	2	2
174	мы не	3	2
175	в силу	2	2
176	мы можем	4	2
177	в другом	4	2
178	на протяжении	4	2
179	будто бы	2	2
180	одна из	2	2
181	ничего не	3	2
