N	2gram	Tiupa_Vved_1	VLabPisa
1	таким образом	4	27
2	в этом	21	26
3	и в	13	25
4	не только	20	22
5	может быть	18	21
6	и не	12	19
7	не может	7	17
8	в его	4	15
9	прежде всего	7	13
10	в том	10	13
11	этом отношении	4	13
12	в частности	13	12
13	с другой	5	11
14	в силу	2	11
15	в качестве	8	10
16	о том	5	10
17	к этому	2	9
18	об этом	4	9
19	что в	3	9
20	для него	3	9
21	но и	19	9
22	то же	5	9
23	в своем	5	8
24	другой стороны	2	8
25	могут быть	4	8
26	не следует	3	8
27	из этих	3	7
28	как и	11	7
29	том что	7	7
30	было бы	4	7
31	отношению к	7	7
32	во всех	2	7
33	по отношению	7	7
34	не было	2	7
35	а не	15	7
36	это не	6	6
37	в себе	5	6
38	то что	6	6
39	более или	2	6
40	в нем	5	6
41	так и	8	6
42	или менее	2	6
43	бы и	4	6
44	и его	5	6
45	их в	2	6
46	в то	4	6
47	в результате	3	5
48	же время	3	5
49	все же	6	5
50	в пределах	2	5
51	одним из	5	5
52	как бы	4	5
53	один из	3	5
54	приводит к	2	5
55	действующих лиц	2	5
56	только в	6	5
57	не в	6	5
58	не является	3	5
59	к тому	6	4
60	никогда не	4	4
61	перед нами	6	4
62	в целом	3	4
63	можно сказать	4	4
64	в романе	6	4
65	одна из	4	4
66	в своей	5	4
67	в самом	2	4
68	как раз	2	4
69	в них	2	4
70	это только	2	4
71	и к	2	3
72	и от	2	3
73	мы видели	2	3
74	различного рода	3	3
75	как о	2	3
76	по поводу	2	3
77	например в	2	3
78	вслед за	2	3
79	далеко не	4	3
80	в котором	8	3
81	что и	2	3
82	жизни и	7	3
83	сводится к	4	3
84	того что	6	3
85	и по	3	3
86	в слове	3	3
87	никак не	2	3
88	всего лишь	5	3
89	бы в	3	3
90	том как	3	3
91	не менее	4	2
92	зависит от	2	2
93	мира и	2	2
94	не всегда	2	2
95	в жизни	4	2
96	по себе	2	2
97	или иной	3	2
98	частности в	2	2
99	ли не	2	2
100	ли это	2	2
101	но не	5	2
102	еще не	7	2
103	одной стороны	5	2
104	он и	2	2
105	если бы	7	2
106	мы имеем	5	2
107	персонажей и	2	2
108	подчеркнуть что	5	2
109	том чтобы	2	2
110	к ним	2	2
111	в ней	4	2
112	не вполне	3	2
113	отнюдь не	7	2
114	если в	2	2
115	этом и	2	2
116	все они	2	2
117	бы не	2	2
118	а в	6	2
119	начиная с	3	2
120	с одной	5	2
121	при всей	2	2
122	что такое	18	2
123	и для	3	2
124	войны и	3	2
125	можно было	2	2
126	тому как	2	2
127	в своих	2	2
128	не столько	4	2
129	также и	4	2
130	пока еще	4	2
131	хотя и	7	2
132	лишь в	2	2
133	не о	2	2
134	он не	3	2
135	подобно тому	2	2
136	к его	3	2
137	говорить о	2	2
138	что мы	2	2
139	будто бы	3	2
140	как он	2	2
141	которая не	2	2
142	в области	3	2
143	могло бы	3	2
144	в сознании	4	2
145	о чем	2	2
146	но в	6	2
