N	2gram	Voloshinov_2	VrazhdaK
1	не только	13	9
2	в этом	15	8
3	и в	19	8
4	но и	10	7
5	что в	2	7
6	то что	4	7
7	и все	6	7
8	в котором	3	6
9	в нем	11	6
10	все же	5	6
11	– это	4	6
12	и даже	2	6
13	как и	9	6
14	в начале	2	6
15	но в	7	6
16	и с	2	6
17	то же	16	5
18	не было	3	5
19	и не	19	5
20	у него	2	5
21	между тем	6	5
22	в то	8	5
23	же время	8	5
24	уже в	2	4
25	как бы	19	4
26	это не	4	4
27	что он	4	4
28	так же	5	4
29	может быть	28	4
30	при этом	9	4
31	в истории	3	4
32	о том	3	4
33	в ней	3	4
34	с его	8	3
35	связи с	13	3
36	в своем	2	3
37	в связи	7	3
38	к этому	5	3
39	на то	4	3
40	и у	2	3
41	он был	2	3
42	в том	7	3
43	и его	16	3
44	том что	10	3
45	и как	6	3
46	тем что	2	3
47	в его	5	3
48	далеко не	2	3
49	его в	7	3
50	и о	2	3
51	одним из	2	3
52	он не	3	3
53	и т.п	10	2
54	место в	2	2
55	а с	2	2
56	в своей	3	2
57	и это	3	2
58	никогда не	7	2
59	вместе с	2	2
60	отнюдь не	8	2
61	его и	3	2
62	столь же	3	2
63	как раз	4	2
64	не может	18	2
65	а в	3	2
66	отношения к	2	2
67	таким образом	14	2
68	рядом с	2	2
69	в той	5	2
70	и он	2	2
71	мы знаем	2	2
72	с точки	13	2
73	на основе	3	2
74	тем более	5	2
75	в этой	3	2
76	и то	3	2
77	но как	2	2
78	точки зрения	17	2
79	в свою	6	2
80	и ее	4	2
81	в себе	4	2
82	для него	9	2
83	еще не	3	2
84	о чем	2	2
85	ответ на	2	2
86	одна из	7	2
