N	2gram	Tiupa_Hudo_1	EvropaiC
1	таким образом	3	32
2	в том	18	31
3	и в	19	24
4	том что	8	20
5	все эти	2	19
6	не может	7	18
7	то что	4	17
8	может быть	14	15
9	точки зрения	10	13
10	в своем	2	12
11	в этом	11	12
12	все это	2	11
13	между тем	4	11
14	отношению к	9	10
15	как бы	9	10
16	по отношению	9	10
17	культуры в	2	10
18	во всех	3	10
19	так и	11	10
20	при этом	13	9
21	как и	2	9
22	того же	2	9
23	что в	6	9
24	не в	7	8
25	в самом	5	8
26	так же	2	8
27	если бы	3	8
28	с точки	3	8
29	не менее	3	7
30	к тому	4	7
31	но и	10	7
32	и не	15	7
33	и что	3	7
34	из этих	3	7
35	по своей	7	7
36	о том	2	7
37	что он	3	7
38	или менее	5	7
39	того чтобы	2	7
40	для того	2	7
41	из этого	2	7
42	более или	5	7
43	с другой	7	6
44	в этой	2	6
45	отличается от	2	6
46	того что	4	6
47	и на	2	6
48	с ним	2	6
49	начало и	2	6
50	еще не	3	6
51	что и	2	6
52	тогда как	13	6
53	в мире	21	6
54	только в	5	6
55	именно в	2	5
56	в целом	3	5
57	другой стороны	5	5
58	как к	2	5
59	потому что	3	5
60	его в	2	5
61	но в	7	5
62	и к	3	5
63	в то	6	5
64	по своему	2	5
65	в его	9	5
66	не только	16	5
67	не будет	2	5
68	быть и	2	5
69	и для	2	5
70	между двумя	2	5
71	лишь в	4	5
72	в себе	9	5
73	далеко не	2	5
74	в которой	2	5
75	никогда не	2	4
76	тем не	3	4
77	хотя и	3	4
78	отношение к	5	4
79	в их	5	4
80	и то	4	4
81	между собой	2	4
82	данный момент	2	4
83	иначе говоря	4	4
84	он не	4	4
85	то же	10	4
86	а с	2	4
87	если мы	2	4
88	и конец	2	4
89	все прочие	3	4
90	и т.д	3	4
91	в области	6	4
92	с одной	2	3
93	в нашем	2	3
94	в этих	3	3
95	одного и	2	3
96	не вполне	2	3
97	так или	3	3
98	в нем	5	3
99	заключается в	2	3
100	и по	2	3
101	а в	12	3
102	это не	2	3
103	и потому	2	3
104	прежде всего	4	3
105	в жизни	2	3
106	и того	2	3
107	на почве	3	3
108	даже в	3	3
109	может служить	2	3
110	или иначе	4	3
111	в данном	4	3
112	и это	2	3
113	отличие от	7	3
114	свою очередь	2	2
115	в сторону	2	2
116	в частности	13	2
117	себя и	2	2
118	тому что	2	2
119	сводится к	7	2
120	для него	4	2
121	же время	5	2
122	в свою	3	2
123	одной стороны	2	2
124	к нему	3	2
125	от себя	3	2
126	в виду	5	2
127	с ее	5	2
128	образом и	2	2
129	что она	2	2
130	имеет место	2	2
131	и состоит	3	2
132	в самой	2	2
133	в одно	2	2
134	и некоторые	2	2
135	во втором	4	2
136	не следует	4	2
137	одно из	2	2
138	но как	2	2
139	говорить о	3	2
140	то есть	18	2
141	том и	2	2
142	в основе	4	2
143	и более	2	2
144	отнюдь не	2	2
145	в них	2	2
146	он должен	3	2
147	этих двух	2	2
148	вовсе не	2	2
149	при условии	2	2
150	то в	2	2
151	одна из	2	2
152	но не	11	2
153	со своей	3	2
154	никто не	2	2
155	и особенно	2	2
156	в точке	3	2
157	однако при	3	2
158	в себя	2	2
159	тем самым	4	2
160	между ними	4	2
161	совершенно иной	2	2
162	и ее	3	2
163	в другом	3	2
164	не знает	3	2
165	этого слова	2	2
166	есть в	2	2
