N	2gram	Savitsky_P_1	NovoeSre
1	а не	2	17
2	не может	4	16
3	и в	14	16
4	и не	12	11
5	и есть	2	10
6	что в	4	9
7	в том	9	8
8	в этом	10	7
9	может быть	5	7
10	не в	5	6
11	в нем	3	5
12	все это	2	5
13	в жизни	2	5
14	культуры в	2	5
15	xix века	6	5
16	и к	4	5
17	в ней	6	5
18	не только	17	5
19	не менее	2	4
20	то что	4	4
21	в них	2	4
22	это не	3	4
23	не было	2	4
24	быть может	6	4
25	должно быть	2	4
26	потому что	3	4
27	прежде всего	3	4
28	и мы	2	4
29	и потому	4	4
30	но и	6	3
31	с другой	5	3
32	во всех	2	3
33	и пр	5	3
34	в мире	2	3
35	в ее	2	3
36	с тем	3	3
37	духа и	2	3
38	наряду с	3	3
39	в россии	3	3
40	а в	4	2
41	с одной	3	2
42	думать что	2	2
43	в судьбах	6	2
44	одной стороны	3	2
45	на путях	4	2
46	хотя бы	8	2
47	но не	3	2
48	мы не	3	2
49	том что	4	2
50	в смысле	6	2
51	xix век	2	2
52	в русском	2	2
53	есть в	2	2
54	одна из	2	2
55	и с	2	2
56	могут быть	3	2
57	с этим	2	2
58	не к	2	2
59	в себе	3	2
60	в то	7	2
61	русской революции	2	2
62	и это	2	2
63	хотя и	3	2
64	но в	9	2
65	помнить что	2	2
