N	2gram	Potebnia_M_4	TeoriaLi
1	в мире	2	24
2	не только	10	18
3	тогда как	4	16
4	и не	18	16
5	я в	2	16
6	а в	5	14
7	и в	23	13
8	состоит в	2	13
9	может быть	26	12
10	так и	6	12
11	то есть	34	12
12	при этом	15	11
13	в этом	23	11
14	в том	23	11
15	а не	12	10
16	и его	2	10
17	в его	5	9
18	то же	14	9
19	что в	17	8
20	отношению к	8	8
21	но и	11	8
22	по отношению	10	8
23	в себе	14	7
24	том что	12	7
25	в данном	4	7
26	точки зрения	4	7
27	в то	4	7
28	только в	15	7
29	же время	3	6
30	еще не	3	6
31	лишь в	3	6
32	как бы	5	6
33	но в	8	6
34	в своем	8	5
35	в ее	2	5
36	как и	14	5
37	не в	11	5
38	между ними	4	5
39	в самом	3	5
40	в нем	7	5
41	данном случае	2	5
42	как в	7	5
43	он не	2	5
44	уже не	3	5
45	тем самым	4	5
46	с другой	2	5
47	между тем	9	5
48	мы имеем	4	5
49	в искусстве	3	5
50	не менее	5	4
51	в свою	2	4
52	можно сказать	4	4
53	то что	29	4
54	отношение к	2	4
55	не может	11	4
56	в слове	22	4
57	сказать что	8	4
58	хотя и	5	4
59	говорить о	5	4
60	слова в	3	3
61	ни к	2	3
62	и др	2	3
63	никогда не	3	3
64	в нашем	2	3
65	говоря словами	2	3
66	в этих	3	3
67	и к	6	3
68	тем не	4	3
69	кто говорит	2	3
70	по своему	2	3
71	для него	5	3
72	того что	14	3
73	например в	3	3
74	и потому	10	3
75	этого слова	7	3
76	так в	3	3
77	таким образом	24	3
78	именно в	3	3
79	и что	7	3
80	и по	3	3
81	и то	5	3
82	потому что	33	3
83	его в	4	3
84	все эти	3	3
85	я не	2	2
86	только не	3	2
87	если бы	13	2
88	могут быть	7	2
89	это не	7	2
90	вовсе не	7	2
91	по себе	11	2
92	что он	4	2
93	к тому	3	2
94	что может	2	2
95	об этом	2	2
96	и как	2	2
97	в большинстве	2	2
98	имеем дело	2	2
99	мы в	3	2
100	из которых	2	2
101	к его	2	2
102	здесь мы	2	2
103	в виду	3	2
104	так или	2	2
105	даже в	2	2
106	и тем	4	2
107	не с	2	2
108	к нему	5	2
109	слова не	3	2
110	вместе с	6	2
111	дело не	2	2
112	со стороны	3	2
113	а именно	4	2
114	и для	2	2
115	и состоит	3	2
116	к одному	3	2
117	в той	4	2
118	и о	4	2
119	с точки	3	2
120	и даже	2	2
121	и притом	2	2
122	так же	4	2
123	или иначе	2	2
124	их в	3	2
125	с языком	2	2
126	и здесь	2	2
127	не следует	2	2
128	о том	8	2
129	и это	2	2
130	в которой	6	2
131	в области	2	2
132	на деле	2	2
133	это было	2	2
134	для меня	10	2
135	имеет в	2	2
