N	2gram	Bakhtin_fo_2	Analitik
1	не только	11	22
2	и в	46	18
3	как и	8	14
4	так и	7	14
5	в этом	22	14
6	но и	9	13
7	и его	12	13
8	в частности	5	12
9	том что	4	12
10	в качестве	3	12
11	и не	9	12
12	при этом	6	11
13	а в	3	10
14	как бы	10	10
15	то есть	10	10
16	может быть	7	9
17	что в	5	9
18	а не	4	9
19	в том	10	9
20	и даже	3	8
21	с другой	2	7
22	но не	5	7
23	в его	8	7
24	к тому	3	6
25	не в	9	6
26	для него	3	6
27	еще не	6	6
28	в этой	2	6
29	он не	5	6
30	в их	3	6
31	о том	4	6
32	никогда не	6	5
33	не является	3	5
34	в конце	2	5
35	прежде всего	14	5
36	или иной	2	5
37	того же	3	5
38	что и	3	5
39	в мире	4	5
40	и т.п	2	5
41	в сущности	2	5
42	лишь в	2	5
43	уже не	3	5
44	мы имеем	2	5
45	о чем	3	4
46	отнюдь не	4	4
47	в своем	5	4
48	в одном	7	4
49	по себе	2	4
50	что он	3	4
51	можно сказать	2	4
52	и к	2	4
53	и как	3	4
54	в пределах	5	4
55	картина мира	2	4
56	все же	6	4
57	принадлежит к	2	4
58	картины мира	2	4
59	таким образом	3	4
60	и на	7	4
61	в данном	2	4
62	далеко не	2	4
63	уже в	4	3
64	из этих	4	3
65	к этому	3	3
66	о смерти	2	3
67	что они	4	3
68	было бы	2	3
69	же время	4	3
70	если в	2	3
71	как в	4	3
72	все это	6	3
73	то же	8	3
74	не было	3	3
75	этом отношении	2	3
76	именно в	2	3
77	роль в	3	3
78	с этим	5	3
79	точки зрения	10	3
80	говорить о	2	3
81	в то	5	3
82	жизнь и	3	3
83	его в	6	3
84	здесь не	2	3
85	в особенности	6	3
86	как это	2	3
87	могут быть	2	2
88	все эти	5	2
89	все они	3	2
90	в них	7	2
91	это не	2	2
92	и от	2	2
93	себе самому	3	2
94	в нем	5	2
95	как уже	3	2
96	о его	2	2
97	же в	4	2
98	в романе	13	2
99	в дальнейшем	5	2
100	вплоть до	2	2
101	то в	2	2
102	с тем	2	2
103	мира и	9	2
104	по своему	2	2
105	в большинстве	3	2
106	со всеми	2	2
107	ни для	2	2
108	хотя и	3	2
109	и потому	2	2
110	а также	3	2
111	один из	2	2
112	то что	7	2
113	во всех	11	2
114	вместе с	9	2
115	в форме	3	2
116	не может	2	2
117	не могла	2	2
118	отношения к	4	2
119	с одной	2	2
120	не для	2	2
121	те же	6	2
122	в себя	2	2
123	и вот	2	2
124	в той	2	2
125	не мог	2	2
126	с точки	8	2
127	и он	4	2
128	и по	3	2
129	и для	9	2
130	и прежде	3	2
131	в литературу	2	2
132	в иной	2	2
133	во всяком	2	2
134	тем что	3	2
135	в себе	4	2
136	только в	11	2
137	и все	6	2
138	этом ряду	2	2
139	так сказать	7	2
140	там где	2	2
141	в борьбе	3	2
142	но в	10	2
143	картине мира	2	2
