N	2gram	Tiupa_Vved_1	Russkaja
1	не может	7	22
2	и не	12	19
3	в том	10	17
4	в этом	21	17
5	и в	13	14
6	то что	6	13
7	таким образом	4	11
8	то же	5	11
9	же время	3	10
10	но и	19	10
11	в то	4	10
12	том что	7	9
13	не только	20	9
14	в себе	5	9
15	может быть	18	9
16	прежде всего	7	8
17	отнюдь не	7	7
18	к тому	6	7
19	самом деле	3	7
20	в данном	13	7
21	о том	5	7
22	и с	2	7
23	если бы	7	6
24	на самом	4	6
25	и к	2	6
26	для него	3	6
27	если в	2	6
28	в своем	5	6
29	и для	3	6
30	в своих	2	6
31	между собой	2	5
32	жизни в	4	5
33	и на	3	5
34	или иной	3	5
35	при этом	26	5
36	было бы	4	5
37	в своей	5	5
38	он не	3	5
39	никогда не	4	5
40	в нем	5	5
41	во всех	2	5
42	а в	6	5
43	потому что	5	5
44	только в	6	5
45	а лишь	2	4
46	но не	5	4
47	что в	3	4
48	в мире	8	4
49	как и	11	4
50	более или	2	4
51	все что	3	4
52	ли это	2	4
53	как бы	4	4
54	все же	6	4
55	жизни и	7	4
56	со стороны	5	4
57	или менее	2	4
58	что же	3	4
59	приводит к	2	4
60	не в	6	4
61	можно было	2	4
62	в его	4	4
63	и т.д	5	4
64	для них	3	3
65	из этих	3	3
66	лишь в	2	3
67	в качестве	8	3
68	еще не	7	3
69	в самом	2	3
70	том чтобы	2	3
71	той или	3	3
72	что и	2	3
73	все они	2	3
74	данном случае	6	3
75	не было	2	3
76	сводится к	4	3
77	того что	6	3
78	и по	3	3
79	тем что	2	3
80	говорить о	2	3
81	о котором	2	3
82	одна из	4	3
83	в сознании	4	3
84	место в	2	2
85	а с	2	2
86	зависит от	2	2
87	и более	3	2
88	должна быть	2	2
89	в частности	13	2
90	и от	2	2
91	или нескольких	2	2
92	состоит в	10	2
93	представить себе	2	2
94	по себе	2	2
95	уже не	5	2
96	но это	3	2
97	при отсутствии	2	2
98	не можем	2	2
99	в ней	4	2
100	в котором	8	2
101	и тем	2	2
102	этом и	2	2
103	не к	4	2
104	для нас	2	2
105	быть и	2	2
106	целый ряд	2	2
107	по отношению	7	2
108	это только	2	2
109	тогда как	10	2
110	тем самым	5	2
111	а не	15	2
112	что такое	18	2
113	и наконец	2	2
114	в результате	3	2
115	их в	2	2
116	в силу	2	2
117	мы можем	2	2
118	не о	2	2
119	в начале	3	2
120	по воле	2	2
121	ни от	2	2
122	как будто	4	2
123	в этих	3	2
124	с ним	3	2
125	в области	3	2
126	но в	6	2
