N	2gram	Losev_Dial_2	formyVre
1	и в	19	50
2	в этом	8	25
3	в нем	10	24
4	и его	5	16
5	прежде всего	8	15
6	и не	30	14
7	как мы	3	14
8	вовсе не	13	13
9	как раз	5	13
10	так и	10	12
11	человека и	2	11
12	может быть	20	11
13	таким образом	4	11
14	мы уже	8	11
15	то же	12	11
16	и как	10	10
17	времени и	9	10
18	но в	2	10
19	в конце	2	9
20	в том	14	9
21	же время	5	9
22	все эти	2	9
23	в то	6	9
24	не только	19	9
25	ничего не	3	9
26	в самом	5	8
27	и т	17	8
28	и их	3	8
29	но и	12	8
30	как и	10	8
31	жизни и	6	8
32	ни в	10	8
33	т п	2	8
34	не было	3	7
35	это время	3	7
36	времени в	2	7
37	все же	4	6
38	в частности	2	6
39	это не	10	6
40	например в	2	6
41	с ее	2	6
42	в их	2	6
43	не может	9	6
44	так же	2	6
45	в результате	2	6
46	так как	14	6
47	с этим	3	6
48	и все	12	6
49	в жизни	2	6
50	связи с	4	6
51	во всех	2	6
52	то что	14	6
53	в ее	4	6
54	как в	2	6
55	человеческой жизни	2	6
56	что в	7	5
57	не в	8	5
58	в связи	4	5
59	в разных	3	5
60	только и	2	5
61	время как	7	5
62	точки зрения	12	5
63	всех этих	3	5
64	но все	2	5
65	отнюдь не	6	5
66	но не	6	5
67	еще не	4	5
68	он не	4	5
69	могут быть	4	5
70	время и	2	4
71	понятно что	2	4
72	в своем	4	4
73	кроме того	3	4
74	и следовательно	5	4
75	все это	4	4
76	потому что	14	4
77	и с	5	4
78	в ней	2	4
79	пространства и	7	4
80	и пространства	2	4
81	то время	4	4
82	конечно не	6	4
83	раз в	2	4
84	или как	3	4
85	жизнь и	5	4
86	в той	3	4
87	том что	10	4
88	и то	7	4
89	только в	5	4
90	и это	5	4
91	не могут	4	3
92	в этих	3	3
93	в определенном	2	3
94	к тому	2	3
95	да и	6	3
96	с тем	2	3
97	при этом	4	3
98	себе и	3	3
99	в виду	5	3
100	и уже	3	3
101	с одной	2	3
102	именно в	2	3
103	в одно	5	3
104	они не	3	3
105	а в	4	3
106	их в	2	3
107	сказать что	10	3
108	одно из	4	3
109	его в	3	3
110	в одном	4	3
111	есть не	7	3
112	же в	2	3
113	одно и	4	3
114	в сущности	2	3
115	и потому	5	3
116	только к	2	3
117	и времени	5	3
118	что и	5	3
119	вместе с	2	3
120	сих пор	2	3
121	во времени	4	3
122	а не	16	3
123	что не	6	3
124	мы видим	2	3
125	в таком	4	3
126	или в	2	3
127	во всяком	2	3
128	быть только	2	3
129	в себе	15	3
130	все его	3	3
131	до сих	2	3
132	уже в	4	2
133	самого начала	2	2
134	же как	3	2
135	никогда не	9	2
136	с другой	5	2
137	не обязательно	5	2
138	и нет	2	2
139	была бы	3	2
140	вопрос о	3	2
141	а только	3	2
142	жизнь в	2	2
143	в широком	2	2
144	с самого	2	2
145	есть в	2	2
146	момент в	2	2
147	есть только	4	2
148	в некоторых	2	2
149	ни с	4	2
150	можно только	2	2
151	мы находим	3	2
152	того что	6	2
153	и даже	14	2
154	и по	4	2
155	широком смысле	2	2
156	или не	2	2
157	также и	2	2
158	личности и	6	2
159	же и	9	2
160	но он	4	2
161	той или	4	2
162	в истории	2	2
163	необходимо чтобы	2	2
164	что мы	2	2
165	мы должны	2	2
166	как он	4	2
167	с ним	4	2
168	мире и	2	2
169	не как	2	2
170	тогда когда	6	2
171	ясно что	4	2
172	по себе	18	2
173	и время	4	2
174	и к	7	2
175	об этом	3	2
176	время не	3	2
177	в чем	3	2
178	во все	2	2
179	и может	6	2
180	было бы	3	2
181	в это	3	2
182	в своей	8	2
183	как бы	14	2
184	быть и	4	2
185	ее в	2	2
186	и прежде	2	2
187	совершенно не	7	2
188	я был	2	2
189	если мы	2	2
190	уже не	3	2
191	с точки	8	2
192	хотя бы	4	2
193	в которой	2	2
194	в данном	3	2
195	от этого	3	2
196	тем что	2	2
197	в каком	4	2
198	того и	2	2
199	и вообще	6	2
