N	2gram	Propp_Isto_4	UchenyiS
1	и в	26	14
2	а не	6	10
3	не только	15	10
4	и не	9	8
5	то что	16	7
6	в этом	7	7
7	не может	6	7
8	может быть	14	6
9	хотя бы	2	5
10	все это	2	5
11	и только	5	5
12	то же	8	5
13	но и	12	4
14	в этой	2	4
15	конечно не	2	4
16	с другой	4	4
17	но в	5	3
18	как и	7	3
19	и то	6	3
20	все же	9	3
21	в своей	4	3
22	в частности	2	3
23	другой стороны	4	3
24	это не	5	3
25	было бы	2	3
26	в области	2	3
27	у нас	2	3
28	смысле этого	2	2
29	том что	3	2
30	но не	5	2
31	в том	3	2
32	по существу	3	2
33	не есть	2	2
34	не в	5	2
35	но это	3	2
36	должна быть	2	2
37	о чем	3	2
38	если бы	2	2
39	не случайно	2	2
40	это уже	2	2
41	только в	3	2
42	и с	5	2
43	тем что	5	2
44	сих пор	5	2
45	могут быть	6	2
46	его и	2	2
47	даже и	2	2
48	что он	10	2
49	и у	5	2
50	в себе	2	2
51	до сих	5	2
52	формы и	2	2
53	что мы	3	2
54	же самое	2	2
55	не могут	2	2
56	по себе	2	2
57	в некоторых	5	2
58	превращается в	7	2
59	ничего не	5	2
60	а как	2	2
61	что она	3	2
62	что и	9	2
63	в его	5	2
64	таким образом	10	2
