N	2gram	Voloshinov_1	Hudozhes
1	и не	8	16
2	в том	2	15
3	и в	13	15
4	не только	6	15
5	может быть	8	13
6	при этом	2	12
7	а в	2	12
8	и его	12	12
9	в этом	2	11
10	в себе	3	11
11	как бы	6	10
12	отношению к	3	10
13	но и	3	10
14	так и	3	10
15	по отношению	3	10
16	то же	4	10
17	а не	2	10
18	в его	7	9
19	литературного произведения	2	9
20	точки зрения	7	9
21	своего рода	2	8
22	с другой	2	7
23	в искусстве	3	7
24	но в	4	7
25	что в	3	6
26	в ее	3	6
27	том что	2	6
28	не в	3	6
29	не может	8	6
30	могут быть	2	5
31	а также	2	5
32	только в	6	5
33	в самом	2	5
34	в нем	2	5
35	то что	6	5
36	и т.п	7	5
37	другой стороны	2	5
38	в их	3	5
39	героя и	2	5
40	не столько	3	4
41	прежде всего	9	4
42	к тому	2	4
43	в другом	2	4
44	для него	2	4
45	и тем	2	4
46	в своей	4	4
47	во времени	2	4
48	входит в	2	4
49	и то	3	4
50	между тем	2	4
51	говорить о	3	4
52	и т.д	5	4
53	эстетического объекта	5	4
54	эстетический объект	7	4
55	художественного произведения	5	3
56	не менее	2	3
57	если бы	2	3
58	произведения как	4	3
59	в отношении	2	3
60	или иного	2	3
61	и к	2	3
62	в пределах	3	3
63	одно и	3	3
64	мог бы	2	3
65	имеет место	2	3
66	того или	2	3
67	в целом	2	3
68	не на	2	3
69	таким образом	6	3
70	как и	3	3
71	лишь в	4	3
72	с точки	5	3
73	во всей	2	3
74	и для	3	3
75	и ее	2	3
76	в данном	2	3
77	в структуре	2	3
78	в произведении	2	3
79	в которой	3	3
80	в области	2	3
81	истории литературы	2	2
82	в них	2	2
83	превращается в	3	2
84	не как	3	2
85	в одном	3	2
86	вовсе не	2	2
87	роль в	2	2
88	одной стороны	2	2
89	несмотря на	2	2
90	за пределы	3	2
91	не является	4	2
92	для себя	2	2
93	и др	2	2
94	художественное произведение	2	2
95	как в	2	2
96	собственно говоря	2	2
97	с одной	2	2
98	все эти	2	2
99	так же	2	2
100	материала в	4	2
101	от всех	2	2
102	всей своей	2	2
103	в чем	2	2
