N	2gram	Propp_Isto_2	Tvorches
1	и в	15	21
2	как бы	6	17
3	в его	6	13
4	то же	10	13
5	что в	12	12
6	как и	2	12
7	том что	7	11
8	все это	3	10
9	как в	5	8
10	он не	8	8
11	то что	12	8
12	у него	4	7
13	в том	6	7
14	тем самым	2	7
15	при этом	4	7
16	не только	18	7
17	и не	11	7
18	и на	4	7
19	но в	6	7
20	что он	24	6
21	в котором	5	6
22	человека в	2	6
23	а в	12	6
24	и его	3	6
25	в этом	11	6
26	о том	3	6
27	а не	5	5
28	но это	4	5
29	может быть	17	5
30	в этой	4	5
31	все же	9	5
32	таким образом	7	5
33	хотя бы	2	5
34	потому что	9	5
35	как будто	3	5
36	только в	6	5
37	в русской	5	5
38	прежде всего	5	4
39	одной из	4	4
40	один из	8	4
41	не может	5	4
42	это не	2	4
43	в основном	2	4
44	уже в	2	3
45	он видит	2	3
46	самого начала	2	3
47	и другие	4	3
48	никогда не	15	3
49	с другой	2	3
50	представление о	2	3
51	я не	2	3
52	с ее	2	3
53	с самого	2	3
54	но не	2	3
55	на его	2	3
56	той же	2	3
57	но если	3	3
58	в нем	7	3
59	и т	19	3
60	но и	14	3
61	дело не	4	3
62	ее в	2	3
63	в их	3	3
64	на самом	2	3
65	того что	3	3
66	и по	2	3
67	так же	13	3
68	в которой	2	3
69	связан с	5	3
70	и с	4	3
71	представляет собой	5	3
72	так как	14	3
73	такой же	2	2
74	перед нами	2	2
75	зависит от	2	2
76	в этих	11	2
77	в качестве	3	2
78	эти слова	3	2
79	не столько	2	2
80	точно так	6	2
81	в жизни	2	2
82	что и	6	2
83	а затем	2	2
84	об этом	11	2
85	так что	6	2
86	не в	7	2
87	одна из	2	2
88	в глаза	2	2
89	в нашей	2	2
90	из них	2	2
91	к тому	5	2
92	живет в	2	2
93	в одной	4	2
94	в ней	4	2
95	же и	3	2
96	к ней	2	2
97	и когда	2	2
98	в него	2	2
99	был бы	2	2
100	герой в	3	2
101	здесь нет	2	2
102	когда он	3	2
103	вместе с	7	2
104	так и	5	2
105	приводит к	2	2
106	но его	2	2
107	говорит что	3	2
108	именно в	2	2
109	в себя	3	2
110	что она	5	2
111	здесь мы	3	2
112	не мог	3	2
113	самом деле	2	2
114	и наконец	5	2
115	или в	2	2
116	в мир	2	2
117	сказать что	2	2
118	могут быть	2	2
119	но он	4	2
120	в себе	4	2
121	страх перед	3	2
122	не знает	2	2
123	при помощи	2	2
124	так сказать	2	2
125	в виду	2	2
