N	2gram	Vinokur_St_3	Freidism
1	таким образом	10	24
2	и не	10	23
3	не может	7	20
4	точки зрения	7	19
5	прежде всего	10	18
6	и пр	13	15
7	в этом	24	15
8	в его	12	15
9	может быть	19	13
10	и его	3	12
11	как и	4	11
12	как бы	6	11
13	то что	12	11
14	все эти	3	11
15	с точки	4	11
16	так и	5	10
17	как мы	2	10
18	самом деле	2	10
19	но в	5	10
20	с его	3	9
21	и в	25	9
22	во всех	2	9
23	что он	19	8
24	еще не	2	8
25	в своей	4	8
26	он не	5	8
27	не только	12	8
28	все это	8	8
29	то же	5	8
30	только в	6	8
31	так как	3	8
32	ни в	5	7
33	к нему	4	7
34	во всяком	4	7
35	один из	2	7
36	отношение к	4	7
37	в самом	2	7
38	и наконец	3	7
39	сказать что	4	7
40	всяком случае	4	7
41	никогда не	2	6
42	точку зрения	2	6
43	вовсе не	2	6
44	и ее	2	6
45	для него	3	6
46	того что	5	6
47	в ней	4	6
48	так сказать	2	6
49	и с	4	6
50	на протяжении	4	6
51	и к	4	5
52	связь с	4	5
53	в свою	2	5
54	можно сказать	4	5
55	не в	6	5
56	в этой	14	5
57	в чем	4	5
58	для этого	2	5
59	в то	7	5
60	что такое	7	5
61	что в	19	5
62	но и	9	5
63	по мнению	3	5
64	для того	2	5
65	а в	6	5
66	и на	6	5
67	могут быть	2	5
68	с этим	7	5
69	в каком	4	5
70	я и	3	5
71	не менее	2	4
72	но не	2	4
73	в котором	5	4
74	и др	4	4
75	в этих	11	4
76	из этих	6	4
77	в жизни	4	4
78	к тому	2	4
79	об этом	5	4
80	всех этих	3	4
81	же время	3	4
82	на этом	3	4
83	в последнем	2	4
84	от того	2	4
85	как раз	3	4
86	все же	4	4
87	и за	2	4
88	не было	4	4
89	мы находим	2	4
90	уже не	3	4
91	с самого	2	4
92	и для	4	4
93	в которой	4	4
94	той же	2	4
95	мы не	2	4
96	потому что	5	4
97	во время	3	4
98	себя и	2	4
99	говорить о	3	4
100	самого начала	2	3
101	о которой	2	3
102	если бы	4	3
103	тому что	3	3
104	в них	5	3
105	во втором	2	3
106	что все	3	3
107	он был	3	3
108	но это	4	3
109	и может	2	3
110	было бы	7	3
111	и тот	2	3
112	в общем	4	3
113	ни на	2	3
114	ее в	2	3
115	нет никакого	3	3
116	с ее	2	3
117	вместе с	2	3
118	со стороны	3	3
119	как в	6	3
120	этой области	2	3
121	и что	3	3
122	и по	2	3
123	мы имеем	5	3
124	такой же	2	3
125	у него	9	3
126	одна из	2	3
127	не является	3	3
128	он хотел	3	3
129	этих двух	2	2
130	в отношении	2	2
131	уже в	3	2
132	но все	2	2
133	с чувством	2	2
134	что это	16	2
135	и ни	2	2
136	в какой	3	2
137	того же	2	2
138	с другой	5	2
139	с которыми	2	2
140	это не	7	2
141	в конце	6	2
142	к этому	3	2
143	в такой	2	2
144	большое значение	2	2
145	тем не	2	2
146	быть это	3	2
147	до конца	3	2
148	том что	15	2
149	а не	5	2
150	связано с	5	2
151	одной стороны	3	2
152	не совсем	2	2
153	что мы	3	2
154	его отношение	2	2
155	конце концов	3	2
156	относится к	4	2
157	на почве	5	2
158	точка зрения	4	2
159	ответ на	5	2
160	в развитии	2	2
161	дело не	2	2
162	сих пор	2	2
163	все они	3	2
164	в их	3	2
165	отличается от	4	2
166	а с	2	2
167	этом отношении	4	2
168	с одной	2	2
169	а потому	2	2
170	заметить что	2	2
171	и у	2	2
172	к этим	2	2
173	как на	6	2
174	на основе	2	2
175	мы видим	4	2
176	без труда	2	2
177	случае в	2	2
178	в своих	8	2
179	но как	2	2
180	в другом	3	2
181	жизни но	2	2
182	при помощи	2	2
183	до сих	2	2
184	в области	6	2
185	в эту	4	2
186	в виду	2	2
187	это было	8	2
