N	3gram	Vinokur_Vv_1	Myshleni
1	в том что	12	21
2	с точки зрения	2	18
3	для того чтобы	21	10
4	с одной стороны	4	7
5	заключается в том	3	7
6	в связи с	2	6
7	во всяком случае	3	6
8	не может быть	8	6
9	по сравнению с	3	5
10	на этот вопрос	3	5
11	можно было бы	3	5
12	по отношению к	4	5
13	в самом деле	5	4
14	о том что	12	4
15	в том чтобы	5	4
16	смысле этого слова	2	3
17	в данном случае	4	3
18	по этому поводу	2	3
19	в отличие от	3	3
20	в собственном смысле	2	3
21	в этом отношении	3	3
22	состоит в том	2	3
23	же самое что	2	2
24	в другом месте	2	2
25	потому что он	2	2
26	то же самое	2	2
27	одной стороны и	3	2
28	само по себе	3	2
29	хотя бы и	2	2
30	сама по себе	3	2
31	и в самом	3	2
32	на вопрос о	4	2
33	вовсе не в	2	2
34	на том что	2	2
35	в этом смысле	10	2
36	вопрос о том	5	2
