N	2gram	Vygotskiy__2	Problemy
1	и не	7	31
2	и в	15	29
3	в его	2	24
4	может быть	9	24
5	а не	3	22
6	в этом	19	22
7	как бы	7	19
8	точки зрения	26	19
9	для него	3	18
10	не только	15	15
11	то что	20	15
12	но и	10	14
13	и его	4	14
14	то же	5	14
15	с точки	18	13
16	как и	6	12
17	точка зрения	3	12
18	не может	9	12
19	таким образом	14	12
20	в одном	2	10
21	этом смысле	2	10
22	в самом	11	10
23	только в	4	10
24	там где	6	10
25	с его	4	9
26	это не	5	9
27	все же	4	9
28	но не	3	9
29	все эти	3	9
30	если бы	8	9
31	в своем	9	8
32	по себе	7	8
33	что он	12	8
34	что в	14	8
35	отношению к	5	8
36	в своей	4	8
37	по отношению	6	8
38	потому что	7	8
39	в том	33	8
40	прежде всего	4	7
41	вовсе не	6	7
42	том что	27	7
43	не в	8	7
44	за пределы	2	7
45	самого автора	2	7
46	так и	8	7
47	и как	2	7
48	а в	4	7
49	с другими	3	7
50	в себе	2	7
51	мира и	2	7
52	но в	6	7
53	все это	4	6
54	точку зрения	6	6
55	не могут	2	6
56	о мире	3	6
57	в целом	10	6
58	несмотря на	4	6
59	что она	3	6
60	как в	4	6
61	как раз	4	6
62	в самой	3	6
63	самом деле	6	6
64	так же	4	6
65	говорит он	12	6
66	могут быть	2	6
67	так как	4	6
68	перед нами	2	5
69	и др	5	5
70	именно в	2	5
71	было бы	10	5
72	но все	2	5
73	зависимости от	6	5
74	в сущности	9	5
75	у него	2	5
76	он не	7	5
77	в зависимости	6	5
78	той же	2	5
79	на самом	3	5
80	с их	2	5
81	во всяком	7	5
82	и это	3	5
83	с ним	3	5
84	ничего не	3	5
85	или как	2	5
86	в результате	3	4
87	были бы	2	4
88	идет о	3	4
89	бы и	3	4
90	что и	2	4
91	и с	4	4
92	и самого	2	4
93	даже в	4	4
94	в процессе	11	4
95	от того	2	4
96	и для	2	4
97	тем что	2	4
98	но эта	3	4
99	как мы	6	4
100	они не	3	4
101	должно быть	2	4
102	их в	4	4
103	в основе	3	4
104	в этой	6	4
105	что же	2	4
106	уже в	5	3
107	он сам	3	3
108	в другой	2	3
109	никогда не	8	3
110	в них	4	3
111	с другой	6	3
112	таким же	3	3
113	ни в	2	3
114	по существу	5	3
115	все что	5	3
116	не дает	2	3
117	всяком случае	6	3
118	типа и	3	3
119	и до	3	3
120	в их	2	3
121	этом отношении	3	3
122	в себя	2	3
123	приводит к	5	3
124	друг друга	5	3
125	тому как	2	3
126	сказать что	6	3
127	но с	2	3
128	он в	3	3
129	само по	2	3
130	подобно тому	2	3
131	мы должны	6	3
132	на вопрос	4	2
133	в противоположность	2	2
134	все время	3	2
135	связи с	9	2
136	уже и	2	2
137	хотя бы	4	2
138	с этой	2	2
139	те же	3	2
140	с которой	2	2
141	вопрос о	5	2
142	его к	2	2
143	и ее	3	2
144	и к	6	2
145	является для	4	2
146	говорит сам	2	2
147	ту сторону	2	2
148	мы видим	4	2
149	не потому	2	2
150	чем в	2	2
151	при этом	3	2
152	и идеи	2	2
153	тот же	7	2
154	и сам	3	2
155	друг с	2	2
156	все те	2	2
157	в котором	2	2
158	в один	2	2
159	по ту	2	2
160	находиться в	2	2
161	нисколько не	2	2
162	в первой	2	2
163	данном случае	3	2
164	мы уже	6	2
165	находится в	2	2
166	во всей	5	2
167	в отношении	6	2
168	и даже	5	2
169	что оно	4	2
170	или к	2	2
171	и что	8	2
172	к себе	2	2
173	из которых	3	2
174	на этот	6	2
175	можно было	5	2
176	в данном	3	2
177	этот вопрос	5	2
178	то он	2	2
179	в которых	3	2
180	как например	2	2
181	для себя	3	2
182	и есть	2	2
183	в истории	6	2
184	во все	2	2
185	могли бы	4	2
186	из тех	3	2
187	не возникает	2	2
188	всей его	2	2
189	заметить что	2	2
190	в которой	4	2
191	бы к	3	2
192	с этим	3	2
193	не слово	2	2
