N	2gram	Medvedev_U_1	FransuaR
1	и в	14	29
2	таким образом	2	20
3	и не	8	16
4	в этой	4	13
5	как и	3	12
6	но в	3	12
7	в этом	7	11
8	то же	5	10
9	в то	3	10
10	не только	10	10
11	в конце	2	9
12	но и	4	9
13	и с	2	9
14	же время	3	8
15	прежде всего	8	8
16	в его	2	8
17	в том	2	7
18	все они	2	5
19	это не	3	5
20	в своей	3	5
21	с его	2	4
22	что он	2	4
23	но это	2	4
24	конце концов	2	4
25	то что	7	4
26	конечно не	4	4
27	все это	5	4
28	с другой	4	4
29	тем что	2	4
30	всех этих	2	3
31	в частности	3	3
32	превращается в	2	3
33	все же	3	3
34	том что	2	3
35	но конечно	2	3
36	другой стороны	3	3
37	не случайно	2	3
38	в себе	2	3
39	на эту	2	3
40	формы и	2	2
41	а как	2	2
42	на первый	2	2
43	но не	2	2
44	не может	7	2
45	о чем	2	2
46	может быть	6	2
47	и для	2	2
48	его и	2	2
49	в их	4	2
50	как раз	2	2
51	и у	2	2
52	не столько	2	2
53	и то	3	2
54	даже и	2	2
55	только в	2	2
56	же не	2	2
