N	2gram	Tiupa_Disk_1	Myslijsy
1	потому что	4	49
2	то есть	20	30
3	и в	16	24
4	может быть	17	23
5	то что	5	20
6	и не	11	19
7	а не	22	18
8	в том	23	18
9	что в	4	16
10	по себе	3	15
11	не только	28	15
12	того же	3	14
13	при этом	13	13
14	не в	7	13
15	но не	11	12
16	не может	9	12
17	то же	7	12
18	что и	3	11
19	только в	7	11
20	таким образом	3	11
21	для него	4	10
22	в себе	7	10
23	как в	10	10
24	тогда как	19	10
25	в нем	9	9
26	как бы	5	9
27	но и	14	9
28	а в	5	8
29	том что	19	8
30	более или	2	8
31	или менее	2	8
32	и на	5	8
33	в этом	15	8
34	могут быть	4	8
35	прежде всего	11	7
36	во всяком	2	7
37	сами по	2	7
38	во всех	5	7
39	как и	16	7
40	того что	3	7
41	тем что	3	7
42	с этим	3	7
43	связи с	4	6
44	с другой	10	6
45	в одном	2	6
46	не есть	2	6
47	и того	3	6
48	и как	6	6
49	свою очередь	3	6
50	в свою	3	6
51	в ряду	2	6
52	не было	7	6
53	между тем	4	6
54	одного и	2	6
55	в то	3	6
56	заметить что	2	6
57	слова в	2	5
58	уже в	2	5
59	не менее	2	5
60	столь же	3	5
61	по крайней	2	5
62	по мере	2	5
63	крайней мере	2	5
64	не от	2	5
65	что не	4	5
66	о том	8	5
67	так и	8	5
68	в них	4	5
69	из них	3	5
70	все же	3	5
71	никогда не	2	4
72	мысли о	2	4
73	что он	4	4
74	уже не	4	4
75	еще не	14	4
76	должны быть	3	4
77	в самом	3	4
78	в котором	5	4
79	с одной	9	4
80	и что	2	4
81	к другому	2	4
82	тому как	3	4
83	подобно тому	2	4
84	они не	2	4
85	себе не	3	4
86	так сказать	2	4
87	но в	8	4
88	так например	2	3
89	это не	3	3
90	оно не	2	3
91	не как	4	3
92	и все	2	3
93	хотя и	2	3
94	одной стороны	9	3
95	например в	2	3
96	к другим	2	3
97	и во	2	3
98	и тем	2	3
99	не с	3	3
100	в целом	4	3
101	как не	3	3
102	со стороны	7	3
103	языка и	2	3
104	человека в	2	3
105	бы быть	3	3
106	и вообще	2	3
107	могла бы	2	3
108	далеко не	10	3
109	в каждом	2	2
110	и есть	2	2
111	и его	2	2
112	в какой	2	2
113	хотя бы	3	2
114	состоит в	9	2
115	к этому	2	2
116	зависит от	2	2
117	с его	4	2
118	за пределы	2	2
119	есть в	2	2
120	же время	4	2
121	что с	2	2
122	было в	2	2
123	в действительности	3	2
124	имеет место	3	2
125	в его	7	2
126	и потому	3	2
127	один из	3	2
128	указывает на	2	2
129	для обозначения	3	2
130	другой стороны	3	2
131	внимание на	4	2
132	а с	5	2
133	к мысли	2	2
134	в себя	5	2
135	и по	2	2
136	отношения к	2	2
137	или в	2	2
138	по отношению	9	2
139	сказать что	3	2
140	имея в	3	2
141	в другом	2	2
142	о котором	2	2
143	на этом	2	2
144	к которому	2	2
145	влияния на	2	2
146	это было	2	2
