N	2gram	Tiupa_Anal_3	Psycholo
1	то что	2	32
2	и в	18	31
3	в том	9	30
4	то есть	10	26
5	что в	9	23
6	может быть	9	22
7	таким образом	4	20
8	при этом	11	19
9	не может	2	17
10	как и	14	16
11	том что	12	16
12	и не	12	16
13	точки зрения	3	15
14	только в	2	14
15	а не	9	13
16	не только	22	13
17	что и	5	13
18	мы не	3	12
19	в этом	14	12
20	в самом	5	11
21	могут быть	2	11
22	не в	6	11
23	в сущности	5	10
24	по себе	4	9
25	как в	3	9
26	самом деле	2	9
27	никогда не	5	8
28	произведение искусства	4	8
29	вместе с	2	8
30	все это	3	8
31	во всяком	2	8
32	что мы	2	8
33	что он	4	7
34	и его	13	7
35	тому как	2	7
36	сказать что	2	7
37	о том	6	7
38	очевидно что	2	6
39	одной стороны	2	6
40	было бы	3	6
41	из этих	3	6
42	всяком случае	2	6
43	отнюдь не	4	6
44	а в	10	6
45	что она	2	6
46	и даже	8	6
47	в его	7	6
48	и все	2	5
49	не является	5	5
50	в ее	3	5
51	все же	4	5
52	с одной	2	5
53	несмотря на	2	5
54	совершенно не	2	5
55	как бы	10	5
56	в целом	3	5
57	другой стороны	5	5
58	и для	2	5
59	то же	3	5
60	с другой	7	5
61	иначе говоря	2	5
62	подобно тому	3	5
63	в то	3	5
64	к тому	6	4
65	прежде всего	5	4
66	столь же	4	4
67	одной и	2	4
68	в себе	2	4
69	указывает на	3	4
70	отличие от	2	4
71	одна из	2	4
72	со всеми	2	4
73	один из	2	4
74	со стороны	9	4
75	к этому	3	4
76	те же	2	4
77	для всех	2	4
78	в результате	5	4
79	мы можем	2	4
80	в искусстве	2	4
81	этого слова	2	4
82	там где	2	4
83	между тем	5	4
84	как это	3	4
85	мы имеем	5	4
86	дело с	3	3
87	уже в	3	3
88	произведении искусства	2	3
89	с тем	2	3
90	только не	3	3
91	состоит в	4	3
92	в частности	12	3
93	конечном счете	2	3
94	в своем	4	3
95	у пушкина	3	3
96	в каждом	3	3
97	совершенно очевидно	2	3
98	и к	4	3
99	тому же	3	3
100	это и	2	3
101	не будет	3	3
102	но не	7	3
103	например в	2	3
104	в этой	6	3
105	хотя и	2	3
106	в слове	5	3
107	он не	6	3
108	в конечном	2	3
109	чистом виде	2	3
110	не есть	4	3
111	и той	2	3
112	так и	14	3
113	который в	3	3
114	в отличие	2	3
115	не было	3	3
116	и вот	2	3
117	и по	2	3
118	той же	5	3
119	роль в	3	3
120	с этим	3	3
121	нуждается в	2	3
122	во всем	3	3
123	в конце	5	3
124	в произведении	3	3
125	на примере	2	3
126	когда мы	2	3
127	что по	4	3
128	но в	2	3
129	не менее	4	2
130	сама по	2	2
131	тем или	2	2
132	и как	4	2
133	и без	3	2
134	в них	2	2
135	и от	2	2
136	одного и	3	2
137	в жизни	2	2
138	не всегда	3	2
139	и ту	2	2
140	и здесь	2	2
141	есть не	2	2
142	на два	2	2
143	тем не	2	2
144	уже не	5	2
145	и потому	2	2
146	представляет собой	5	2
147	что они	3	2
148	в качестве	12	2
149	того же	5	2
150	без остатка	2	2
151	или иным	2	2
152	по поводу	3	2
153	о чем	4	2
154	в стихе	2	2
155	далеко не	4	2
156	к жизни	3	2
157	даже в	2	2
158	к числу	2	2
159	гораздо более	2	2
160	в нем	2	2
161	как говорит	3	2
162	когда он	2	2
163	но и	13	2
164	говорит о	2	2
165	приводит к	4	2
166	как раз	7	2
167	этом отношении	3	2
168	в себя	2	2
169	тем самым	4	2
170	с точки	2	2
171	его не	3	2
172	ничего не	3	2
173	как к	2	2
174	бы и	2	2
175	но как	3	2
176	его в	3	2
177	в одном	4	2
