N	2gram	Losev_Prob_5	Istorich
1	и в	30	24
2	что он	7	21
3	не только	18	21
4	может быть	7	14
5	не может	5	14
6	что в	5	13
7	мы имеем	2	12
8	как в	2	12
9	в этом	17	12
10	но и	13	11
11	это не	2	10
12	у него	11	10
13	том что	17	10
14	а в	6	10
15	и что	6	10
16	и другие	3	9
17	с другой	6	9
18	не в	7	9
19	все же	9	9
20	о том	12	9
21	потому что	13	9
22	еще не	3	8
23	что и	6	8
24	другой стороны	6	8
25	то же	2	8
26	а не	5	8
27	или в	4	8
28	так как	6	8
29	один из	2	7
30	в том	12	7
31	то что	18	7
32	вместе с	7	7
33	к нему	3	7
34	что здесь	2	7
35	таким образом	13	7
36	тем что	2	6
37	с этой	2	6
38	об этом	4	6
39	для нас	10	6
40	как и	7	6
41	так же	5	6
42	но не	7	6
43	в нем	6	6
44	а именно	12	6
45	он не	3	6
46	и все	9	6
47	того что	3	6
48	только в	9	6
49	не менее	5	5
50	одной стороны	3	5
51	отношение к	2	5
52	так и	7	5
53	с одной	3	5
54	в чем	2	5
55	доказывает что	2	5
56	с ним	3	5
57	ничего не	2	5
58	в русской	3	5
59	но в	9	5
60	никогда не	7	4
61	что у	5	4
62	не всегда	3	4
63	вовсе не	8	4
64	тем не	5	4
65	в брак	2	4
66	по существу	2	4
67	но все	4	4
68	при этом	4	4
69	после того	3	4
70	как бы	6	4
71	ли он	2	4
72	за него	2	4
73	то и	2	4
74	если не	4	4
75	и не	12	4
76	в других	3	4
77	мы не	2	4
78	точки зрения	10	4
79	в данном	2	4
80	мы можем	5	4
81	уже в	2	3
82	в качестве	4	3
83	в них	2	3
84	а его	4	3
85	тогда когда	4	3
86	представление о	2	3
87	если он	2	3
88	на то	2	3
89	так что	11	3
90	в дальнейшем	7	3
91	что они	3	3
92	кроме того	2	3
93	этот мотив	4	3
94	его в	6	3
95	не все	2	3
96	при помощи	6	3
97	когда он	2	3
98	сих пор	2	3
99	ее в	2	3
100	данном случае	2	3
101	как мы	2	3
102	и даже	14	3
103	и он	4	3
104	и его	6	3
105	хотя и	8	3
106	связи с	7	3
107	в конце	8	3
108	того как	5	3
109	тоже не	2	3
110	на земле	9	2
111	не будет	2	2
112	на небе	2	2
113	по этому	2	2
114	его за	2	2
115	того же	4	2
116	к этому	2	2
117	прежде всего	6	2
118	не могут	2	2
119	в целях	2	2
120	в то	4	2
121	все в	3	2
122	огонь и	4	2
123	ни в	4	2
124	в ее	3	2
125	без всякого	2	2
126	что его	3	2
127	нас не	3	2
128	говорит о	7	2
129	небо и	2	2
130	в силу	5	2
131	но тем	2	2
132	и нет	2	2
133	то время	3	2
134	участие в	2	2
135	тот же	3	2
136	было бы	4	2
137	на его	2	2
138	в самом	5	2
139	он говорит	2	2
140	и о	5	2
141	но для	2	2
142	в котором	2	2
143	а потом	3	2
144	и тем	3	2
145	на него	2	2
146	оказывается что	4	2
147	дает ему	2	2
148	здесь не	7	2
149	точно так	3	2
150	в связи	7	2
151	уже не	6	2
152	не просто	5	2
153	что не	2	2
154	и у	5	2
155	здесь тоже	3	2
156	не так	4	2
157	по его	2	2
158	в которой	5	2
159	его не	2	2
160	время как	3	2
161	что этот	5	2
162	можно найти	6	2
163	сказать что	9	2
164	из них	2	2
165	в одной	2	2
166	он в	3	2
167	на свое	2	2
168	но он	5	2
169	и на	6	2
170	они не	2	2
171	и после	3	2
172	и другое	3	2
173	его на	2	2
174	в таких	2	2
175	все эти	2	2
176	конечно не	2	2
177	это конечно	2	2
178	видит в	3	2
179	до сих	2	2
