N	2gram	Voloshinov_1	Sovremen
1	не может	8	17
2	точки зрения	8	12
3	может быть	17	12
4	таким образом	9	11
5	мы не	2	9
6	не можем	2	7
7	в этом	9	7
8	и в	16	7
9	и не	4	6
10	как и	2	6
11	мы можем	9	6
12	прежде всего	9	5
13	все эти	5	5
14	и наконец	4	5
15	с точки	6	5
16	как бы	5	4
17	нет и	2	4
18	в развитии	2	4
19	если мы	2	4
20	жизни и	3	4
21	вместе с	3	4
22	а в	3	4
23	не только	7	4
24	с помощью	2	4
25	в том	3	4
26	их в	3	4
27	так как	4	4
28	но мы	4	3
29	самого начала	4	3
30	на этой	3	3
31	отнюдь не	4	3
32	между собой	2	3
33	все это	4	3
34	то же	2	3
35	на две	3	3
36	в нем	4	3
37	и к	6	3
38	для нас	2	3
39	с самого	4	3
40	в этой	4	3
41	еще не	5	3
42	при этом	6	3
43	было бы	2	3
44	и мы	2	3
45	в одном	3	3
46	и все	4	3
47	в области	3	3
48	но в	4	3
49	и потому	3	3
50	совершенно не	8	2
51	может иметь	2	2
52	не могут	2	2
53	что это	2	2
54	не менее	2	2
55	и есть	3	2
56	у него	2	2
57	можно назвать	2	2
58	из этих	2	2
59	как мы	4	2
60	самом деле	6	2
61	и пр	12	2
62	что такое	5	2
63	и даже	4	2
64	и по	2	2
65	мы знаем	3	2
66	мы видим	2	2
67	во всяком	3	2
68	на этом	3	2
69	знаем что	2	2
70	а на	2	2
71	могут быть	3	2
72	с этим	2	2
73	что в	3	2
74	говорить о	2	2
75	со всеми	2	2
76	в один	4	2
77	в самом	2	2
78	в науке	2	2
79	в его	4	2
80	всяком случае	3	2
