N	2gram	Bakhtin_fo_1	VelikijI
1	и не	14	20
2	и в	50	16
3	то что	6	9
4	так как	6	9
5	еще не	5	8
6	в истории	2	8
7	и потому	3	7
8	а не	3	7
9	человека и	11	6
10	хотя и	3	5
11	как бы	2	5
12	но и	8	5
13	все это	4	5
14	того что	2	5
15	на себя	2	5
16	что все	2	4
17	в образе	5	4
18	в нем	24	4
19	как и	8	4
20	что мы	2	4
21	в котором	4	4
22	так и	12	4
23	что не	3	4
24	потому что	4	4
25	в этом	25	4
26	в ней	4	4
27	и все	6	4
28	в его	13	4
29	с его	9	3
30	что в	5	3
31	в этих	3	3
32	в них	4	3
33	в конце	9	3
34	в жизни	6	3
35	ни в	8	3
36	в том	9	3
37	не в	5	3
38	к тому	3	3
39	во всех	6	3
40	этого мира	4	3
41	никогда не	2	3
42	оно не	2	3
43	что и	3	3
44	жизни и	8	3
45	в своей	2	3
46	не было	7	3
47	лишь в	6	3
48	не имеет	4	3
49	хотя бы	2	3
50	и для	4	3
51	их в	3	3
52	от этого	2	3
53	личности и	2	3
54	все эти	9	3
55	нет ничего	4	3
56	в чем	2	3
57	но в	10	3
58	не могут	3	2
59	с тем	3	2
60	его и	2	2
61	это не	6	2
62	прежде всего	15	2
63	что было	3	2
64	дороги и	3	2
65	для нас	2	2
66	да и	3	2
67	том что	4	2
68	мы и	4	2
69	и последнее	2	2
70	одна из	2	2
71	но не	5	2
72	не к	2	2
73	конечно не	4	2
74	для него	2	2
75	для них	3	2
76	того чтобы	5	2
77	уже на	2	2
78	и во	7	2
79	не только	9	2
80	нет и	2	2
81	один из	3	2
82	и т	8	2
83	нем нет	2	2
84	ее в	2	2
85	в форме	3	2
86	тем что	2	2
87	мы не	3	2
88	уже не	2	2
89	а в	3	2
90	в человека	2	2
91	с ним	2	2
92	и то	4	2
93	могут быть	5	2
94	вера в	2	2
95	мир и	2	2
96	только в	4	2
97	и это	4	2
98	во всяком	3	2
99	мира в	3	2
