N	2gram	Tiupa_Lite_1	Poddanst
1	не только	24	17
2	и в	8	14
3	и не	12	12
4	в области	3	11
5	в этом	12	10
6	то же	5	9
7	в том	16	9
8	в качестве	17	9
9	но в	3	9
10	хотя бы	2	8
11	в пределах	3	8
12	же время	5	7
13	в то	5	7
14	только в	8	7
15	но и	17	6
16	xix века	6	6
17	было бы	2	6
18	с другой	3	5
19	не в	8	5
20	может быть	13	5
21	же в	5	4
22	то что	10	4
23	что в	3	4
24	в своем	11	4
25	не может	5	4
26	а в	3	4
27	том что	14	4
28	в русской	10	4
29	а также	5	4
30	как бы	7	4
31	в нем	2	3
32	в россии	2	3
33	столь же	4	3
34	это не	4	3
35	с одной	2	3
36	прежде всего	11	3
37	россии как	2	3
38	тем самым	5	3
39	с точки	2	3
40	сводится к	3	3
41	между тем	2	3
42	но не	4	3
43	могут быть	2	3
44	точки зрения	6	3
45	в себе	7	3
46	одной стороны	2	3
47	потому что	3	3
48	я и	7	3
49	в сфере	3	2
50	не менее	7	2
51	и тем	4	2
52	в мире	2	2
53	не к	2	2
54	для них	2	2
55	и есть	3	2
56	хх века	10	2
57	в частности	15	2
58	отнюдь не	2	2
59	в е	2	2
60	тем более	2	2
61	со стороны	4	2
62	как раз	4	2
63	не столько	5	2
64	и весьма	2	2
65	в жизни	6	2
66	а не	16	2
67	того что	6	2
68	одна из	3	2
69	в силу	4	2
70	не было	3	2
71	из них	4	2
72	более чем	3	2
73	например в	3	2
74	культуры в	4	2
75	да и	3	2
76	в его	7	2
