N	2gram	Propp_Isto_7	Psycholo
1	то что	7	32
2	и в	24	31
3	в том	7	30
4	и т	17	26
5	что в	13	23
6	может быть	14	22
7	таким образом	7	20
8	при помощи	3	20
9	при этом	4	19
10	совершенно ясно	4	19
11	так как	8	18
12	не может	14	17
13	как и	6	16
14	том что	10	16
15	и не	4	16
16	точки зрения	4	15
17	только в	6	14
18	а не	8	13
19	не только	21	13
20	что и	8	13
21	так же	6	12
22	мы не	4	12
23	в этом	12	12
24	в самом	2	11
25	не в	9	11
26	на то	3	10
27	того что	6	10
28	потому что	9	10
29	ни в	2	9
30	как в	12	9
31	никогда не	4	8
32	вместе с	7	8
33	все это	8	8
34	т д	16	8
35	и что	10	8
36	что мы	3	8
37	что он	21	7
38	том чтобы	3	7
39	и его	3	7
40	сказать что	2	7
41	о том	9	7
42	что это	6	6
43	вовсе не	4	6
44	одной стороны	5	6
45	было бы	2	6
46	из этих	3	6
47	а в	10	6
48	что она	5	6
49	и даже	3	6
50	и все	6	5
51	тогда когда	3	5
52	этой точки	3	5
53	в ее	2	5
54	показывает что	8	5
55	все же	9	5
56	так что	3	5
57	мы видим	10	5
58	с одной	5	5
59	то время	2	5
60	для нас	6	5
61	она не	2	5
62	как бы	4	5
63	оказывается что	2	5
64	другой стороны	8	5
65	то же	8	5
66	с другой	9	5
67	время как	2	5
68	в то	2	5
69	в которой	2	4
70	в котором	2	4
71	и другие	9	4
72	прежде всего	2	4
73	тому что	2	4
74	и так	2	4
75	по существу	4	4
76	же как	4	4
77	одна из	7	4
78	мы увидим	6	4
79	у него	10	4
80	и если	3	4
81	и о	2	4
82	один из	7	4
83	в этих	13	4
84	со стороны	2	4
85	к этому	2	4
86	и у	2	4
87	с этой	6	4
88	мы можем	4	4
89	там где	5	4
90	как это	2	4
91	мы имеем	12	4
92	уже в	3	3
93	не могут	2	3
94	что у	4	3
95	в состоянии	4	3
96	та же	2	3
97	точно так	2	3
98	представление о	3	3
99	совершенно очевидно	2	3
100	вопрос о	3	3
101	стороны и	2	3
102	мы знаем	2	3
103	но это	3	3
104	в силу	2	3
105	не будет	2	3
106	но не	6	3
107	не можем	2	3
108	до сих	2	3
109	для объяснения	3	3
110	например в	3	3
111	хотя и	3	3
112	он не	6	3
113	и когда	2	3
114	общественного развития	2	3
115	сих пор	3	3
116	от всех	2	3
117	так и	5	3
118	что при	2	3
119	только на	2	3
120	задачи и	3	3
121	им в	2	3
122	должны быть	3	3
123	это обстоятельство	2	3
124	и по	3	3
125	почти всегда	2	3
126	в одной	2	3
127	с этим	2	3
128	во всем	2	3
129	в конце	3	3
130	что эти	2	3
131	и это	2	3
132	что по	2	3
133	но в	5	3
134	т е	16	3
135	в основе	2	2
136	не менее	5	2
137	на вопрос	4	2
138	тот кто	5	2
139	в другой	3	2
140	по этому	2	2
141	и там	2	2
142	в них	3	2
143	и другую	2	2
144	и от	2	2
145	не всегда	4	2
146	с ним	5	2
147	и здесь	12	2
148	там же	2	2
149	она в	3	2
150	тем не	4	2
151	уже не	2	2
152	только о	2	2
153	представляет собой	4	2
154	что они	3	2
155	что здесь	7	2
156	в качестве	3	2
157	того же	2	2
158	всех других	2	2
159	тот же	2	2
160	когда она	2	2
161	и тот	2	2
162	что такое	2	2
163	видим что	3	2
164	показывает как	3	2
165	и тем	2	2
166	в нем	6	2
167	мы видели	7	2
168	отношение к	5	2
169	из них	2	2
170	когда он	3	2
171	но и	11	2
172	говорит о	2	2
173	без всякого	2	2
174	как мы	3	2
175	отличается от	2	2
176	то и	4	2
177	в связи	2	2
178	все дело	2	2
179	к нему	7	2
180	от него	3	2
181	его не	2	2
182	увидим что	2	2
183	в чем	5	2
184	ничего не	5	2
185	связи со	2	2
186	к ним	2	2
187	приходит к	3	2
188	его в	3	2
189	как он	6	2
190	то чтобы	2	2
