N	2gram	Bakhtin_fo_1	VLabPisa
1	таким образом	11	27
2	в этом	25	26
3	и в	50	25
4	и т	8	24
5	не только	9	22
6	может быть	11	21
7	хотя бы	2	20
8	и не	14	19
9	не может	6	17
10	в его	13	15
11	в процессе	4	14
12	прежде всего	15	13
13	в том	9	13
14	этом отношении	3	13
15	в частности	6	12
16	все это	4	12
17	с другой	2	11
18	не могут	3	10
19	в качестве	3	10
20	к этому	3	9
21	об этом	2	9
22	что в	5	9
23	для него	2	9
24	и др	9	9
25	но и	8	9
26	то же	11	9
27	т п	8	9
28	все эти	9	8
29	в своем	4	8
30	могут быть	5	8
31	же в	3	7
32	как и	8	7
33	том что	4	7
34	было бы	2	7
35	отношению к	5	7
36	во всех	6	7
37	вместе с	3	7
38	по отношению	3	7
39	не было	7	7
40	а не	3	7
41	в порядке	3	6
42	у него	6	6
43	это не	6	6
44	в себе	3	6
45	то что	6	6
46	том же	2	6
47	в основном	5	6
48	в нем	24	6
49	так и	12	6
50	и его	16	6
51	их в	3	6
52	в то	9	6
53	в результате	6	5
54	же время	9	5
55	все же	6	5
56	в пределах	5	5
57	связи с	6	5
58	как бы	2	5
59	один из	3	5
60	в их	6	5
61	на основе	2	5
62	сказать что	3	5
63	только в	4	5
64	не в	5	5
65	не является	2	5
66	к тому	3	4
67	никогда не	2	4
68	их и	2	4
69	равно как	2	4
70	в одном	3	4
71	в целом	2	4
72	что все	2	4
73	с его	9	4
74	в ее	6	4
75	в романе	32	4
76	одна из	2	4
77	в своей	2	4
78	в самом	8	4
79	как раз	13	4
80	в них	4	4
81	в связи	5	4
82	и к	2	3
83	всех этих	5	3
84	и ее	3	3
85	с тем	3	3
86	и как	10	3
87	в конце	9	3
88	человека и	11	3
89	этого типа	5	3
90	момент в	2	3
91	в другую	2	3
92	по существу	12	3
93	не столь	2	3
94	или в	3	3
95	с этим	6	3
96	что не	3	3
97	например в	6	3
98	далеко не	2	3
99	в виду	3	3
100	в котором	4	3
101	нет и	2	3
102	его в	3	3
103	что и	3	3
104	жизни и	8	3
105	и их	8	3
106	ее в	2	3
107	именно в	3	3
108	этой проблемы	2	3
109	в значительной	2	3
110	того что	2	3
111	и по	2	3
112	так же	6	3
113	в которых	2	3
114	точки зрения	5	3
115	др в	2	3
116	например у	3	2
117	том числе	4	2
118	вне его	2	2
119	в точном	2	2
120	сюжета и	2	2
121	от различных	2	2
122	формы и	3	2
123	в жизни	6	2
124	вовсе не	13	2
125	а как	3	2
126	роль в	9	2
127	по себе	2	2
128	стороны и	2	2
129	или иной	2	2
130	до сих	3	2
131	и потому	3	2
132	но не	5	2
133	но для	2	2
134	в различных	2	2
135	числе и	2	2
136	смысле слова	2	2
137	еще не	5	2
138	одной стороны	2	2
139	и может	2	2
140	для того	5	2
141	одной из	3	2
142	если бы	5	2
143	ни с	2	2
144	к ним	2	2
145	точном смысле	2	2
146	в ней	4	2
147	и даже	2	2
148	отнюдь не	5	2
149	явления в	2	2
150	сих пор	3	2
151	этот процесс	5	2
152	до нас	5	2
153	даже не	2	2
154	во всей	3	2
155	а в	3	2
156	в особенности	9	2
157	еще и	2	2
158	с одной	3	2
159	в течение	2	2
160	человека в	17	2
161	того чтобы	5	2
162	между ними	3	2
163	и для	4	2
164	искусстве и	3	2
165	у них	2	2
166	с другими	3	2
167	если они	2	2
168	также и	2	2
169	во всяком	3	2
170	хотя и	3	2
171	лишь в	6	2
172	не о	2	2
173	он не	5	2
174	они не	3	2
175	ту же	2	2
176	что мы	2	2
177	как он	2	2
178	в образе	5	2
179	в чем	2	2
180	в которой	2	2
181	же как	2	2
182	тогда когда	2	2
183	но в	10	2
