N	2gram	Nazirov_Tv_1	Formalny
1	и не	7	30
2	вовсе не	5	28
3	и в	21	27
4	может быть	5	25
5	не может	4	24
6	так и	2	21
7	и его	6	19
8	таким образом	5	18
9	в этом	6	18
10	а не	5	17
11	самом деле	2	16
12	в нем	3	15
13	то же	13	15
14	на самом	3	14
15	как и	12	14
16	не в	2	12
17	и от	4	11
18	в самом	3	11
19	в жизни	2	11
20	и т	3	11
21	место в	3	10
22	но и	3	10
23	так как	3	9
24	не только	7	9
25	так же	3	9
26	что в	12	8
27	при этом	7	8
28	как бы	17	8
29	отнюдь не	5	8
30	и все	6	8
31	то что	8	8
32	только в	5	8
33	не менее	6	7
34	в том	7	7
35	же время	12	7
36	все это	10	7
37	потому что	5	7
38	в то	15	7
39	в его	13	7
40	с другой	3	6
41	в своих	5	6
42	но в	7	6
43	в литературе	2	6
44	что он	6	6
45	действительности и	2	6
46	все же	5	6
47	в своей	4	6
48	хотя бы	5	6
49	в данном	2	6
50	вместе с	2	6
51	никогда не	3	5
52	в каждом	3	5
53	в дальнейшем	3	5
54	в одной	2	5
55	в ней	2	5
56	в направлении	2	5
57	но не	3	5
58	т п	2	5
59	так сказать	2	5
60	уже в	3	4
61	прежде всего	4	4
62	к тому	2	4
63	и как	4	4
64	до конца	2	4
65	же и	2	4
66	в целом	4	4
67	жизни и	3	4
68	данном случае	2	4
69	о том	6	4
70	в романе	10	4
71	том что	11	4
72	как в	8	4
73	только на	2	4
74	могут быть	2	4
75	этом романе	2	3
76	в этих	2	3
77	это не	4	3
78	можно сказать	2	3
79	между людьми	2	3
80	того что	3	3
81	одним из	4	3
82	в него	2	3
83	в виду	2	3
84	и тем	2	3
85	той же	3	3
86	действительности в	2	3
87	и на	7	3
88	сказать что	2	3
89	и с	3	3
90	в основе	2	3
91	а что	2	3
92	жизни в	6	3
93	того же	2	3
94	еще в	2	3
95	время в	3	3
96	ее в	3	3
97	уже не	3	3
98	в себе	2	3
99	и мир	2	2
100	переходит в	2	2
101	человека и	4	2
102	ее и	2	2
103	но это	5	2
104	такой же	2	2
105	в этой	5	2
106	но если	3	2
107	в котором	6	2
108	был бы	2	2
109	от других	2	2
110	из них	2	2
111	дело не	3	2
112	что она	2	2
113	в своем	4	2
114	человека как	2	2
115	и даже	3	2
116	в россии	3	2
117	с его	11	2
118	однако в	2	2
119	в стихах	2	2
120	к этому	2	2
121	с ее	3	2
122	и притом	2	2
123	то в	2	2
124	одна из	2	2
125	одной из	4	2
126	в основном	4	2
127	даже в	3	2
128	что и	2	2
129	тем не	2	2
130	жизни с	2	2
131	в отличие	2	2
132	на земле	3	2
133	это и	3	2
134	человека в	6	2
135	и необходимости	2	2
136	на протяжении	3	2
137	ту же	3	2
138	и внутреннего	2	2
139	дело в	3	2
140	героя и	2	2
141	отличие от	2	2
