N	2gram	Propp_Isto_6	StatiiOP
1	и в	26	44
2	в том	12	36
3	и т	10	30
4	что в	12	30
5	том что	10	29
6	т д	8	21
7	в этом	12	21
8	вовсе не	2	19
9	то что	6	18
10	не только	10	18
11	было бы	2	17
12	а в	3	17
13	о том	7	17
14	и не	10	16
15	а не	2	16
16	т е	22	15
17	может быть	11	15
18	в данном	3	14
19	как в	6	13
20	можно было	2	13
21	не в	3	12
22	у нас	5	11
23	в этой	2	11
24	что он	9	10
25	но и	9	10
26	но в	7	10
27	только в	5	10
28	с другой	10	9
29	если бы	3	9
30	в то	5	9
31	как и	5	9
32	того что	2	9
33	так и	5	9
34	в его	5	9
35	например в	7	8
36	все же	8	8
37	не может	6	8
38	и его	7	8
39	это не	4	8
40	прежде всего	4	7
41	так например	3	7
42	на эти	2	7
43	для нас	2	7
44	сих пор	4	7
45	до сих	4	7
46	другой стороны	8	7
47	таким образом	12	7
48	сказать что	3	7
49	что они	2	7
50	потому что	13	6
51	из этих	4	6
52	так что	3	6
53	но это	4	6
54	что и	4	6
55	в своей	3	6
56	данном случае	3	6
57	со стороны	3	6
58	что же	2	6
59	во всяком	2	6
60	всяком случае	2	6
61	никогда не	13	5
62	такой же	3	5
63	так же	2	5
64	что мы	2	5
65	в нем	8	5
66	жизни и	2	5
67	то же	5	5
68	и по	4	5
69	в которых	2	5
70	и то	3	5
71	тем что	5	5
72	могут быть	3	5
73	все эти	8	5
74	так как	18	5
75	там где	5	5
76	что это	2	4
77	в частности	3	4
78	что она	3	4
79	представление о	9	4
80	вопрос о	3	4
81	мы находим	2	4
82	но все	2	4
83	и что	5	4
84	в качестве	3	4
85	никто не	2	4
86	как бы	4	4
87	на то	2	4
88	не было	3	4
89	что у	2	4
90	и сейчас	2	4
91	не имеет	2	4
92	как будто	3	4
93	как это	5	4
94	том как	3	4
95	за что	2	4
96	а с	2	3
97	и с	6	3
98	с этой	2	3
99	должна быть	3	3
100	в тех	3	3
101	очень часто	5	3
102	ни в	2	3
103	он был	2	3
104	же как	3	3
105	но не	2	3
106	того же	2	3
107	еще не	9	3
108	кажется что	2	3
109	что не	2	3
110	своего рода	2	3
111	или иное	3	3
112	в ней	5	3
113	даже в	2	3
114	и тем	4	3
115	то это	5	3
116	отношению к	2	3
117	а именно	9	3
118	по отношению	2	3
119	и только	3	3
120	в виде	6	3
121	с одной	7	3
122	что оно	4	3
123	должны быть	2	3
124	в очень	4	3
125	значит что	2	3
126	то или	2	3
127	что касается	2	3
128	видно что	2	3
129	здесь совершенно	2	3
130	с этим	2	3
131	это место	2	2
132	в этих	2	2
133	в своем	2	2
134	превращается в	7	2
135	вообще не	3	2
136	не всегда	4	2
137	что там	2	2
138	этом случае	6	2
139	это явление	2	2
140	без всяких	2	2
141	к концу	3	2
142	при этом	3	2
143	то время	3	2
144	что при	2	2
145	она не	3	2
146	одной стороны	7	2
147	и сам	2	2
148	не имели	4	2
149	но для	2	2
150	а также	4	2
151	ни одной	2	2
152	которые в	2	2
153	уже выше	2	2
154	на него	2	2
155	целый ряд	2	2
156	в свое	2	2
157	тем самым	2	2
158	в других	4	2
159	и те	2	2
160	мы не	6	2
161	ничего не	2	2
162	что этот	2	2
163	в своих	3	2
164	их в	3	2
165	от этого	3	2
166	у него	7	2
167	он не	2	2
168	но он	2	2
169	в себе	3	2
170	нет ни	2	2
171	о котором	2	2
172	что здесь	3	2
173	его в	5	2
174	при помощи	3	2
175	и это	8	2
176	или же	2	2
177	отметить что	2	2
178	мы имеем	14	2
179	время как	3	2
180	е в	2	2
