N	3gram	Vygotskiy__3	Stilisti
1	в зависимости от	5	7
2	для того чтобы	7	7
3	того или иного	2	5
4	мы никогда не	2	5
5	с самого начала	6	4
6	в свою очередь	2	4
7	то что мы	2	4
8	той или иной	2	4
9	заключает в себе	2	3
10	как мы видели	3	3
11	как мы уже	2	3
12	смысле этого слова	4	2
13	в этом отношении	3	2
14	о том что	3	2
15	с тем и	4	2
16	только потому что	2	2
17	как мы увидим	2	2
18	что перед нами	3	2
19	в связи с	5	2
20	вместе с тем	10	2
21	и той же	2	2
22	внутренней речи и	2	2
23	мы видели что	3	2
24	не может быть	2	2
25	одной и той	2	2
