N	2gram	Bakhtin_KF_1	TeoriaLi
1	в мире	6	24
2	не только	5	18
3	в качестве	2	17
4	и не	26	16
5	а в	4	14
6	и в	24	13
7	может быть	45	12
8	так и	2	12
9	при этом	4	11
10	в этом	14	11
11	в том	6	11
12	но не	12	10
13	а не	17	10
14	и его	17	10
15	в его	40	9
16	то же	5	9
17	сводится к	2	8
18	что в	4	8
19	отношению к	22	8
20	но и	9	8
21	по отношению	26	8
22	себя в	8	7
23	в себе	21	7
24	том что	4	7
25	в данном	2	7
26	точки зрения	12	7
27	в то	3	7
28	только в	16	7
29	место в	5	6
30	же время	2	6
31	еще не	4	6
32	лишь в	8	6
33	как бы	9	6
34	но в	5	6
35	в своем	16	5
36	или иного	3	5
37	или иной	2	5
38	в ее	16	5
39	как и	5	5
40	не в	12	5
41	того или	3	5
42	в нем	28	5
43	как в	2	5
44	он не	6	5
45	уже не	7	5
46	тем самым	4	5
47	в принципе	2	5
48	жизни как	5	5
49	между тем	4	5
50	мы имеем	5	5
51	не менее	3	4
52	в свою	3	4
53	ни в	12	4
54	в своей	10	4
55	то что	7	4
56	отношение к	5	4
57	в их	8	4
58	не может	27	4
59	и ее	2	4
60	говорить о	2	4
61	не знает	5	4
62	мира и	4	4
63	слова в	2	3
64	ни к	2	3
65	никогда не	5	3
66	этом смысле	3	3
67	прежде всего	2	3
68	тем не	2	3
69	в соответствии	2	3
70	в акте	3	3
71	по своему	3	3
72	для него	8	3
73	того что	3	3
74	эстетического созерцания	5	3
75	той или	3	3
76	и потому	2	3
77	этого слова	2	3
78	с ее	2	3
79	ценностного центра	4	3
80	входит в	3	3
81	а с	2	3
82	именно в	5	3
83	мира в	6	3
84	в другом	3	3
85	в единое	2	3
86	и то	2	3
87	потому что	2	3
88	в основе	5	3
89	в этой	2	3
90	и т.д	2	3
91	отношении к	2	3
92	его в	5	3
93	все эти	10	3
94	во мне	3	2
95	я не	6	2
96	если бы	8	2
97	могут быть	3	2
98	себя и	2	2
99	жизни в	5	2
100	это не	10	2
101	вовсе не	7	2
102	ценностный центр	2	2
103	по себе	2	2
104	что он	2	2
105	при условии	2	2
106	данный момент	3	2
107	но как	5	2
108	и того	2	2
109	и как	2	2
110	соответствии с	2	2
111	или иным	2	2
112	из которых	2	2
113	этом мире	2	2
114	здесь мы	4	2
115	в виду	3	2
116	и тем	3	2
117	к нему	12	2
118	в целом	10	2
119	во всех	11	2
120	дело не	2	2
121	со стороны	7	2
122	вытекает из	2	2
123	здесь не	3	2
124	как к	2	2
125	мышления и	2	2
126	и для	9	2
127	от себя	10	2
128	это и	2	2
129	в себя	7	2
130	свою жизнь	2	2
131	в данный	3	2
132	с точки	9	2
133	во всей	4	2
134	вокруг него	2	2
135	и здесь	7	2
136	могла бы	4	2
137	о том	3	2
138	жизни но	3	2
139	и это	12	2
140	автора как	2	2
141	в чем	4	2
142	в области	2	2
143	я и	2	2
144	это было	2	2
145	для меня	20	2
