N	2gram	Ircho_Kome_3	UchenyiS
1	и в	22	14
2	а не	4	10
3	не только	5	10
4	и не	21	8
5	прежде всего	5	8
6	то что	4	7
7	в этом	8	7
8	не может	3	7
9	может быть	6	6
10	хотя бы	4	5
11	все это	5	5
12	то же	7	5
13	но и	4	4
14	в этой	3	4
15	конечном счете	2	4
16	в их	2	4
17	конечно не	3	4
18	с другой	4	4
19	в конечном	2	4
20	но в	5	3
21	как и	3	3
22	все же	4	3
23	в своей	5	3
24	в частности	3	3
25	бы то	2	3
26	то ни	3	3
27	же время	5	3
28	другой стороны	2	3
29	это не	2	3
30	в то	6	3
31	не как	2	3
32	было бы	3	3
33	в области	2	3
34	не о	3	3
35	ни было	2	3
36	том что	13	2
37	в том	12	2
38	по существу	2	2
39	мы не	2	2
40	с его	3	2
41	не в	4	2
42	и для	4	2
43	о чем	7	2
44	если бы	8	2
45	и с	4	2
46	тем что	5	2
47	сих пор	9	2
48	что он	8	2
49	в себе	4	2
50	как раз	6	2
51	до сих	9	2
52	что мы	2	2
53	же самое	3	2
54	в конце	7	2
55	если не	3	2
56	этом отношении	2	2
57	в самом	9	2
58	не могут	2	2
59	а о	2	2
60	одним из	2	2
61	не приходится	2	2
62	ничего не	3	2
63	самом деле	6	2
64	а как	2	2
65	что она	4	2
66	что и	8	2
67	в его	8	2
68	более чем	5	2
69	между тем	2	2
70	конце концов	2	2
71	таким образом	12	2
