N	2gram	Medvedev_F_2	Tvorches
1	и в	38	21
2	как бы	4	17
3	в то	5	15
4	в его	10	13
5	то же	6	13
6	что в	7	12
7	как и	9	12
8	же время	5	12
9	с его	11	11
10	том что	2	11
11	все это	3	10
12	как в	4	8
13	он не	6	8
14	то что	6	8
15	в том	11	7
16	тем самым	2	7
17	при этом	9	7
18	не только	9	7
19	и не	20	7
20	и на	3	7
21	но в	4	7
22	что он	5	6
23	и все	3	6
24	для него	7	6
25	в котором	2	6
26	а в	6	6
27	и его	21	6
28	в этом	27	6
29	отнюдь не	8	5
30	вовсе не	11	5
31	а не	6	5
32	но это	2	5
33	может быть	23	5
34	в этой	6	5
35	все же	8	5
36	таким образом	20	5
37	хотя бы	6	5
38	потому что	2	5
39	только в	6	5
40	та же	2	4
41	прежде всего	15	4
42	и как	3	4
43	времени и	2	4
44	в целом	3	4
45	один из	2	4
46	в своей	7	4
47	не может	14	4
48	это не	2	4
49	и от	2	4
50	место в	3	3
51	уже в	2	3
52	самого начала	2	3
53	и другие	2	3
54	никогда не	2	3
55	с другой	3	3
56	представление о	2	3
57	с ним	2	3
58	это и	5	3
59	с самого	2	3
60	в дальнейшем	4	3
61	но не	2	3
62	в самом	16	3
63	даже в	2	3
64	в нем	13	3
65	и т	14	3
66	жизни и	3	3
67	не по	2	3
68	но и	13	3
69	ее в	2	3
70	в их	6	3
71	уже не	7	3
72	и других	2	3
73	на самом	3	3
74	того что	3	3
75	и даже	4	3
76	не так	2	3
77	и по	2	3
78	в которой	2	3
79	и с	9	3
80	хотя и	3	3
81	так как	4	3
82	подхода к	2	3
83	ни на	2	3
84	в основе	5	2
85	такой же	3	2
86	перед нами	2	2
87	а как	3	2
88	все более	2	2
89	в этих	2	2
90	в качестве	2	2
91	не столько	4	2
92	одного из	3	2
93	к этому	4	2
94	ее и	2	2
95	что и	8	2
96	в в	2	2
97	его как	2	2
98	не в	15	2
99	то в	2	2
100	было в	2	2
101	до конца	2	2
102	из них	4	2
103	к тому	4	2
104	только на	3	2
105	по преимуществу	5	2
106	в одной	2	2
107	в ней	6	2
108	же и	2	2
109	если в	3	2
110	и тем	2	2
111	не будет	2	2
112	во второй	2	2
113	вместе с	6	2
114	так и	8	2
115	приводит к	2	2
116	во всей	2	2
117	вряд ли	2	2
118	в отличие	2	2
119	как к	3	2
120	что для	2	2
121	именно в	5	2
122	еще более	5	2
123	самом деле	8	2
124	что не	4	2
125	и наконец	4	2
126	отличие от	2	2
127	или в	3	2
128	сказать что	2	2
129	в первом	7	2
130	могут быть	6	2
131	это время	2	2
132	т п	9	2
133	при помощи	2	2
134	так сказать	3	2
135	в чем	2	2
136	не то	3	2
137	в виду	2	2
