N	2gram	Ircho_Kome_2	Istorich
1	и в	26	25
2	что он	5	22
3	вместе с	9	22
4	и т	2	20
5	представление о	2	17
6	может быть	11	17
7	мы имеем	2	14
8	не только	7	13
9	но и	10	13
10	в его	4	12
11	и не	14	11
12	так как	4	11
13	все же	4	10
14	в этом	10	10
15	тем что	3	10
16	с другой	2	9
17	его в	4	9
18	и его	12	9
19	таким образом	6	9
20	с тем	5	8
21	связи с	3	8
22	что в	9	8
23	мы знаем	3	8
24	том что	9	8
25	еще не	6	8
26	и что	2	8
27	и на	7	8
28	в частности	4	7
29	в качестве	5	7
30	во время	6	7
31	а затем	5	7
32	как и	4	7
33	то что	6	7
34	одной стороны	2	7
35	в нем	6	7
36	с одной	2	7
37	потому что	6	7
38	и здесь	6	7
39	только в	4	7
40	о том	6	7
41	в этих	4	6
42	это не	2	6
43	прежде всего	4	6
44	что и	7	6
45	себя в	3	6
46	как в	3	6
47	не может	3	6
48	не в	2	6
49	или в	3	6
50	в том	11	6
51	что это	4	5
52	ясно что	8	5
53	с этим	5	5
54	в образе	3	5
55	как мы	4	5
56	для нас	3	5
57	но все	3	5
58	но не	3	5
59	например в	3	5
60	в ней	3	5
61	мы не	2	5
62	не менее	4	4
63	если не	2	4
64	что у	4	4
65	не всегда	2	4
66	в ее	2	4
67	наряду с	6	4
68	все это	3	4
69	в связи	3	4
70	то же	3	4
71	в истории	5	4
72	и хотя	2	4
73	от этого	2	4
74	он не	2	4
75	и это	2	4
76	же можно	2	4
77	в которой	5	4
78	того как	3	4
79	после смерти	3	3
80	в другой	2	3
81	представления о	2	3
82	и все	2	3
83	в целом	4	3
84	после того	2	3
85	что его	3	3
86	в этой	3	3
87	в то	6	3
88	также что	2	3
89	того чтобы	6	3
90	нет необходимости	2	3
91	если в	2	3
92	на себя	7	3
93	то это	2	3
94	на этом	2	3
95	для того	5	3
96	к нему	3	3
97	друг друга	3	3
98	а в	3	3
99	и с	5	3
100	в греции	2	3
101	никто не	3	3
102	человека в	3	3
103	уже в	4	2
104	одновременно с	2	2
105	у него	4	2
106	к этому	5	2
107	вовсе не	2	2
108	вопрос о	3	2
109	так что	5	2
110	об этом	2	2
111	же в	4	2
112	с этой	3	2
113	по которым	2	2
114	одна из	2	2
115	а на	2	2
116	того же	3	2
117	после этого	2	2
118	до сих	2	2
119	в это	2	2
120	и сам	3	2
121	жизни и	3	2
122	друг с	2	2
123	если бы	9	2
124	из которых	3	2
125	или на	2	2
126	одним из	2	2
127	как бы	2	2
128	это время	3	2
129	еще в	4	2
130	даже в	2	2
131	один из	5	2
132	сих пор	2	2
133	в своей	3	2
134	отношению к	3	2
135	во всех	3	2
136	со стороны	2	2
137	по отношению	3	2
138	с которым	2	2
139	и для	4	2
140	в течение	2	2
141	в других	2	2
142	роль в	2	2
143	так в	2	2
144	точки зрения	4	2
145	к его	2	2
146	из них	7	2
147	с другом	2	2
148	из дому	3	2
149	тех же	3	2
150	о чем	3	2
151	это было	4	2
152	мы можем	3	2
