N	2gram	Voloshinov_1	UchenyiS
1	и в	19	14
2	а не	7	10
3	не только	8	10
4	и не	26	8
5	прежде всего	13	8
6	то что	8	7
7	в этом	16	7
8	не может	24	7
9	может быть	26	6
10	хотя бы	5	5
11	все это	3	5
12	и только	2	5
13	то же	7	5
14	но и	8	4
15	конечно не	5	4
16	с другой	5	4
17	что такое	2	4
18	но в	7	3
19	как и	12	3
20	все же	8	3
21	в своей	3	3
22	и формы	3	3
23	в частности	2	3
24	бы то	8	3
25	формы в	2	3
26	то ни	8	3
27	же время	3	3
28	другой стороны	6	3
29	для него	9	3
30	в то	3	3
31	не как	2	3
32	было бы	4	3
33	и т.д	2	3
34	в области	3	3
35	ни было	10	3
36	у нас	2	3
37	смысле этого	3	2
38	том что	3	2
39	в том	6	2
40	не все	2	2
41	является в	3	2
42	мы не	6	2
43	не есть	3	2
44	не в	5	2
45	и для	11	2
46	бы и	2	2
47	должна быть	2	2
48	этом смысле	2	2
49	не столько	4	2
50	если бы	2	2
51	только в	9	2
52	и с	2	2
53	тем что	2	2
54	сих пор	8	2
55	могут быть	2	2
56	что он	2	2
57	в себе	2	2
58	как раз	2	2
59	до сих	8	2
60	формы и	3	2
61	же самое	3	2
62	в конце	5	2
63	что все	2	2
64	этом отношении	3	2
65	в самом	10	2
66	не могут	3	2
67	по себе	4	2
68	сводится к	3	2
69	одним из	2	2
70	не приходится	2	2
71	ничего не	6	2
72	самом деле	10	2
73	для всех	2	2
74	а как	3	2
75	и является	2	2
76	что и	2	2
77	в его	6	2
78	между тем	3	2
79	на первый	2	2
80	конце концов	3	2
81	таким образом	17	2
