N	3gram	Medvedev_F_2	Psycholo
1	и т п	9	15
2	в том что	2	9
3	и т д	5	8
4	не может быть	10	8
5	в самом деле	5	7
6	во всяком случае	5	6
7	с другой стороны	3	5
8	в зависимости от	3	5
9	не в том	3	5
10	для того чтобы	3	5
11	в какой мере	2	3
12	к тому чтобы	2	3
13	в отличие от	2	3
14	в конце концов	2	3
15	искусство как прием	2	2
16	так и в	3	2
17	с точки зрения	7	2
18	в этом отношении	7	2
19	так как они	2	2
20	в применении к	2	2
21	вместе с тем	4	2
22	том что искусство	2	2
23	в этом смысле	2	2
24	в том случае	2	2
25	на самом деле	3	2
26	по себе а	2	2
