N	2gram	Propp_Isto_4	Stilisti
1	и в	26	42
2	как бы	3	27
3	не только	15	27
4	хотя бы	2	17
5	но и	12	15
6	то же	8	15
7	и не	9	14
8	может быть	14	12
9	не может	6	12
10	как и	7	11
11	мы уже	5	11
12	и как	5	10
13	что мы	3	10
14	мы должны	5	10
15	как мы	5	10
16	в этом	7	10
17	при этом	3	9
18	то что	16	9
19	все же	9	8
20	таким образом	10	8
21	с тем	2	8
22	в себе	2	8
23	никогда не	2	7
24	и тем	2	7
25	и на	2	7
26	потому что	6	7
27	так как	9	7
28	было бы	2	7
29	а не	6	7
30	и его	10	7
31	мы можем	6	7
32	только в	3	7
33	ничего не	5	7
34	другими словами	2	6
35	не в	5	6
36	в этой	2	6
37	на его	3	6
38	в форме	2	6
39	в нем	2	6
40	так и	10	6
41	в области	2	6
42	уже в	2	5
43	мы видели	6	5
44	и их	2	5
45	те же	3	5
46	с помощью	2	5
47	а в	8	5
48	и с	5	5
49	же самое	2	5
50	как это	3	5
51	в его	5	5
52	вместе с	6	5
53	что это	2	4
54	не просто	4	4
55	но все	5	4
56	в качестве	7	4
57	все это	2	4
58	того что	2	4
59	так же	18	4
60	о том	4	4
61	его в	9	4
62	но в	5	4
63	если бы	2	4
64	не что	3	4
65	у нас	2	4
66	с появлением	4	4
67	мы видим	6	4
68	мы увидим	3	4
69	себя в	2	4
70	на него	3	4
71	к своему	3	4
72	уже не	5	4
73	и пр	11	4
74	и то	6	4
75	на это	2	4
76	связанных с	2	3
77	его и	2	3
78	что у	3	3
79	перед нами	3	3
80	это не	5	3
81	главным образом	2	3
82	этом случае	3	3
83	для нас	3	3
84	здесь мы	2	3
85	не мог	3	3
86	но для	2	3
87	хотя и	2	3
88	в целом	2	3
89	не к	2	3
90	из них	2	3
91	от того	2	3
92	и вот	2	3
93	лишь в	2	3
94	и даже	4	3
95	их в	7	3
96	сказать что	2	3
97	и здесь	5	3
98	видели что	3	3
99	бы мы	2	3
100	и все	2	3
101	в одном	5	3
102	этого слова	2	3
103	об этом	7	3
104	том что	3	3
105	в тех	4	3
106	еще не	6	3
107	конечно не	2	3
108	что и	9	3
109	связь между	2	3
110	между ними	3	3
111	то мы	2	3
112	связи с	3	3
113	в частности	2	2
114	иное как	3	2
115	не всегда	6	2
116	вопрос о	4	2
117	в том	3	2
118	но это	3	2
119	случай когда	2	2
120	но мы	3	2
121	в этих	7	2
122	отношение к	2	2
123	в связи	2	2
124	случаях когда	3	2
125	все эти	3	2
126	но эта	4	2
127	только одна	2	2
128	к рассмотрению	2	2
129	в которых	4	2
130	даже и	2	2
131	что иное	3	2
132	по своей	2	2
133	человека с	3	2
134	мы имеем	7	2
135	смысле этого	2	2
136	однако в	2	2
137	с этим	2	2
138	к этому	5	2
139	связанные с	3	2
140	с собой	5	2
141	что он	10	2
142	видим что	2	2
143	только тогда	3	2
144	и при	3	2
145	представляет собой	2	2
146	но не	5	2
147	а на	4	2
148	тех случаях	2	2
149	не есть	2	2
150	в своей	4	2
151	сих пор	5	2
152	связь с	12	2
153	как в	7	2
154	как нечто	3	2
155	здесь не	4	2
156	из трех	3	2
157	из которых	5	2
158	и он	3	2
159	к нему	6	2
160	в дальнейшем	6	2
161	или в	3	2
162	этот вопрос	2	2
163	в языке	2	2
164	между двумя	12	2
165	тем что	5	2
166	это же	2	2
