N	3gram	Losev_Vlad_3	Myshleni
1	в том что	10	17
2	вместе с тем	6	10
3	так же как	2	6
4	в отличие от	3	6
5	с одной стороны	3	5
6	тем не менее	9	5
7	в связи с	2	5
8	что и в	3	5
9	в то время	4	4
10	во всяком случае	3	4
11	то время как	2	4
12	это значит что	6	4
13	о том что	8	3
14	а с другой	2	3
15	на то что	2	3
16	с другой стороны	2	3
17	как мы видели	3	3
18	в этом отношении	2	3
19	независимо от того	2	3
20	совершенно так же	2	2
21	на первый план	2	2
22	и в этом	5	2
23	и то что	4	2
24	и в отношении	3	2
25	само по себе	3	2
26	только в том	3	2
27	то что в	3	2
28	и вместе с	2	2
29	не может быть	6	2
30	в этом смысле	3	2
