N	2gram	Propp_Russ_2	Problema
1	и в	29	38
2	не может	5	27
3	может быть	13	26
4	как бы	18	22
5	и с	10	17
6	в этом	11	15
7	и т	5	14
8	прежде всего	2	13
9	но не	5	12
10	во всех	3	11
11	и для	2	11
12	к нему	4	10
13	в их	2	10
14	таким образом	6	10
15	но и	8	9
16	не имеет	3	9
17	его в	8	9
18	не только	10	9
19	в том	22	8
20	и как	2	8
21	было бы	3	8
22	то что	5	8
23	что в	22	7
24	с другой	2	7
25	не в	4	7
26	между тем	3	7
27	как и	11	7
28	еще не	6	7
29	совершенно не	2	7
30	в своей	2	7
31	как мы	3	7
32	не всегда	3	6
33	не к	2	6
34	а в	9	6
35	только как	2	6
36	все же	2	6
37	там где	2	6
38	то же	4	5
39	это не	5	5
40	при этом	6	5
41	никогда не	2	5
42	все эти	3	5
43	должно быть	2	5
44	далеко не	4	5
45	в них	4	5
46	и о	3	5
47	в отличие	3	5
48	а не	4	5
49	быть только	2	5
50	могут быть	2	5
51	отличие от	3	5
52	не менее	2	4
53	на самом	2	4
54	в виду	2	4
55	данном случае	7	4
56	в форме	2	4
57	в других	15	4
58	в то	2	4
59	о том	9	4
60	но в	5	4
61	не с	2	4
62	в ее	3	4
63	как в	7	4
64	мы здесь	2	4
65	можно было	2	4
66	в данном	6	4
67	и от	3	3
68	тем не	2	3
69	кроме того	2	3
70	одной стороны	2	3
71	природы и	2	3
72	все это	10	3
73	с одной	2	3
74	на них	4	3
75	и на	6	3
76	все то	2	3
77	и все	4	3
78	иногда и	2	3
79	том что	22	3
80	не будем	3	3
81	связь с	3	3
82	в таком	4	3
83	с другими	3	3
84	чем в	2	2
85	на этом	3	2
86	и другие	14	2
87	в этих	3	2
88	связаны с	3	2
89	не можем	2	2
90	и пр	2	2
91	что это	3	2
92	в котором	3	2
93	но она	2	2
94	не было	2	2
95	и других	3	2
96	здесь мы	2	2
97	и что	5	2
98	того что	3	2
99	в своих	2	2
100	во всем	2	2
101	а иногда	2	2
102	как это	4	2
103	в него	2	2
104	мы имеем	6	2
105	не все	4	2
106	к этому	5	2
107	на первый	3	2
108	у нас	4	2
109	по существу	4	2
110	а к	2	2
111	и при	2	2
112	связи с	2	2
113	одна из	11	2
114	здесь в	2	2
115	она не	3	2
116	в некоторых	9	2
117	том же	4	2
118	должен быть	2	2
119	что и	2	2
120	но можно	2	2
121	того чтобы	6	2
122	для того	6	2
123	из которых	2	2
124	или в	7	2
125	тем что	3	2
126	в виде	4	2
127	и ее	2	2
128	в таких	3	2
