N	3gram	Vinokur_Ku_2	Formalny
1	в связи с	3	10
2	не может быть	4	10
3	и т п	24	9
4	с точки зрения	8	7
5	в этом отношении	3	7
6	то же время	3	5
7	в самом деле	7	5
8	в то же	3	5
9	и т д	14	5
10	во всяком случае	5	5
11	в первый период	2	5
12	того или иного	2	4
13	вместе с тем	2	4
14	и пр но	2	3
15	с другой стороны	7	3
16	в зависимости от	4	3
17	на самом деле	2	3
18	для того чтобы	8	3
19	в отличие от	2	2
20	в конце концов	3	2
21	в этом смысле	5	2
22	в том случае	2	2
23	в том что	10	2
24	мы говорим о	2	2
25	но все же	2	2
