N	2gram	Tiupa_Lite_3	formyVre
1	и в	16	50
2	то есть	5	33
3	в романе	3	32
4	в этом	14	25
5	в нем	2	24
6	человека в	2	17
7	и его	6	16
8	прежде всего	3	15
9	и не	22	14
10	как мы	2	14
11	как раз	2	13
12	в его	6	13
13	по существу	4	12
14	так и	9	12
15	может быть	12	11
16	то же	9	11
17	и как	3	10
18	но в	3	10
19	в конце	2	9
20	в том	12	9
21	же время	7	9
22	в то	9	9
23	не только	14	9
24	с его	6	9
25	в самом	3	8
26	но и	14	8
27	и на	2	8
28	жизни в	4	8
29	как и	5	8
30	того же	2	8
31	жизни и	3	8
32	жизненный путь	2	8
33	для себя	2	7
34	все же	2	6
35	в частности	11	6
36	это не	5	6
37	например в	3	6
38	с ее	3	6
39	не может	8	6
40	лишь в	5	6
41	так же	2	6
42	в жизни	8	6
43	связи с	2	6
44	во всех	2	6
45	то что	12	6
46	время в	2	6
47	в ее	5	6
48	как в	5	6
49	что в	2	5
50	не в	10	5
51	в основе	5	5
52	точки зрения	7	5
53	если бы	2	5
54	отнюдь не	3	5
55	но не	4	5
56	еще не	6	5
57	отношению к	4	5
58	того чтобы	2	5
59	для того	2	5
60	том числе	3	4
61	своей жизни	2	4
62	мы и	2	4
63	до конца	4	4
64	потому что	3	4
65	и с	2	4
66	к себе	8	4
67	в присутствии	2	4
68	раз в	2	4
69	и т.п	6	4
70	себе самому	3	4
71	том что	8	4
72	и для	4	4
73	только в	7	4
74	здесь не	2	4
75	жизни не	2	3
76	себя и	2	3
77	вследствие этого	2	3
78	к тому	6	3
79	при этом	15	3
80	хотя и	4	3
81	мира в	3	3
82	один из	2	3
83	со всеми	2	3
84	по отношению	4	3
85	отношения к	3	3
86	этом отношении	5	3
87	с одной	4	3
88	именно в	5	3
89	романа и	2	3
90	а в	5	3
91	одно из	4	3
92	в начале	4	3
93	его в	2	3
94	в одном	4	3
95	ни к	3	3
96	не знает	2	3
97	к этому	2	3
98	же в	2	3
99	в качестве	5	3
100	здесь это	2	3
101	и потому	2	3
102	что и	2	3
103	вместе с	5	3
104	во всей	2	3
105	а не	12	3
106	что не	2	3
107	более того	3	3
108	быть только	2	3
109	и ее	2	3
110	в себе	6	3
111	входит в	4	3
112	место в	4	2
113	никогда не	4	2
114	с другой	6	2
115	вопрос о	2	2
116	или иной	2	2
117	тому же	5	2
118	числе и	2	2
119	в свою	2	2
120	для него	2	2
121	одной стороны	4	2
122	к жизни	2	2
123	в целом	5	2
124	отношение к	2	2
125	ни с	2	2
126	еще и	2	2
127	во втором	2	2
128	того что	9	2
129	и даже	2	2
130	самим собой	3	2
131	той или	2	2
132	не как	2	2
133	по себе	2	2
134	стороны и	2	2
135	и к	3	2
136	в соответствии	3	2
137	было бы	2	2
138	а также	4	2
139	оно не	2	2
140	в своей	7	2
141	как бы	8	2
142	ее в	2	2
143	совершенно не	3	2
144	в отличие	5	2
145	уже не	3	2
146	с точки	3	2
147	той же	3	2
148	в данном	4	2
149	автора и	2	2
150	тем что	2	2
151	на себя	2	2
152	соответствии с	5	2
153	далеко не	2	2
154	там где	3	2
155	здесь как	2	2
156	отличие от	5	2
