N	2gram	Kanaev_Sov_1	UchenyiS
1	и в	7	14
2	а не	3	10
3	не только	4	10
4	и не	6	8
5	прежде всего	5	8
6	в этом	7	7
7	не может	17	7
8	может быть	12	6
9	все это	3	5
10	то же	3	5
11	в этой	3	4
12	что такое	2	4
13	но в	3	3
14	как и	6	3
15	все же	3	3
16	то ни	2	3
17	это не	4	3
18	было бы	3	3
19	и т.д	3	3
20	в области	3	3
21	у нас	3	3
22	в том	4	2
23	мы не	9	2
24	не в	3	2
25	при таком	3	2
26	могут быть	2	2
27	мы получаем	3	2
28	в себе	3	2
29	в системе	3	2
30	же самое	2	2
31	в конце	3	2
32	что все	2	2
33	в самом	2	2
34	не могут	2	2
35	в некоторых	2	2
36	ничего не	6	2
37	самом деле	2	2
38	что она	3	2
39	в его	2	2
40	таким образом	11	2
