N	2gram	Ircho_Kome_1	PoTuStor
1	может быть	9	17
2	и в	22	16
3	прежде всего	5	9
4	таким образом	8	9
5	в этом	3	9
6	мы можем	4	9
7	и его	8	8
8	и с	3	8
9	точки зрения	4	8
10	не может	2	8
11	не только	10	7
12	при этом	5	6
13	отношение к	3	5
14	в чем	3	5
15	ни в	6	5
16	еще не	2	5
17	в нем	4	4
18	но и	11	4
19	так и	5	4
20	все это	5	4
21	и все	3	4
22	так как	4	4
23	и не	8	4
24	как мы	4	4
25	и ее	3	4
26	и даже	5	4
27	и на	3	4
28	в этой	7	4
29	с ее	2	4
30	все что	2	4
31	только в	3	4
32	его в	3	4
33	для всех	2	4
34	но в	4	4
35	в его	5	4
36	во время	5	3
37	и теперь	2	3
38	на две	2	3
39	мы знаем	2	3
40	что в	6	3
41	могут быть	3	3
42	вместе с	2	3
43	сих пор	2	3
44	даже не	2	3
45	в одном	8	3
46	и вот	4	3
47	и притом	2	3
48	в том	11	3
49	а в	6	3
50	том что	12	3
51	и как	3	3
52	то что	2	3
53	на этом	2	3
54	тех же	2	3
55	едва ли	7	3
56	как это	3	3
57	в области	2	3
58	во всяком	2	3
59	до сих	2	3
60	всяком случае	2	3
61	не менее	3	2
62	ее в	2	2
63	один из	5	2
64	что и	4	2
65	ни было	2	2
66	же как	3	2
67	в частности	3	2
68	для этого	2	2
69	в них	3	2
70	находится в	2	2
71	того же	2	2
72	и таким	2	2
73	то же	6	2
74	к этому	4	2
75	и других	7	2
76	что он	6	2
77	мы не	3	2
78	у него	3	2
79	и по	6	2
80	все остальные	3	2
81	как и	9	2
82	так же	3	2
83	но это	2	2
84	за счет	3	2
85	путь к	2	2
86	аналогии с	2	2
87	совсем не	2	2
88	по своему	3	2
89	он не	3	2
90	в начале	3	2
91	на протяжении	4	2
92	ту же	2	2
93	было бы	2	2
94	связанные с	2	2
95	о том	8	2
96	в самом	2	2
97	за пределы	2	2
98	и о	3	2
99	почти не	2	2
