N	2gram	Bakhtin_Fr_6	Problema
1	то есть	24	46
2	в его	7	43
3	и не	3	42
4	и в	41	38
5	не может	4	27
6	может быть	2	26
7	как бы	7	22
8	и с	16	17
9	и его	13	16
10	в нем	16	15
11	в этом	12	15
12	прежде всего	10	13
13	только в	3	13
14	за пределы	2	12
15	в искусстве	3	12
16	но не	2	12
17	во всех	17	11
18	и для	3	11
19	в области	2	11
20	к нему	3	10
21	таким образом	17	10
22	но и	13	9
23	не только	10	9
24	в том	2	8
25	и как	4	8
26	и др	10	8
27	точки зрения	2	8
28	было бы	3	8
29	то что	10	8
30	что в	7	7
31	с другой	4	7
32	с помощью	6	7
33	не в	4	7
34	в самом	10	7
35	между тем	2	7
36	отметить что	2	7
37	как и	7	7
38	в своей	2	7
39	как мы	12	7
40	в плане	3	7
41	и наконец	4	6
42	а в	4	6
43	все же	4	6
44	самом деле	4	6
45	с точки	2	6
46	и этим	2	6
47	там где	5	6
48	то же	5	5
49	все они	2	5
50	в своем	5	5
51	при этом	3	5
52	никогда не	8	5
53	все эти	11	5
54	рядом с	5	5
55	в основе	4	5
56	с ним	4	5
57	в них	7	5
58	конечно не	3	5
59	в большинстве	4	5
60	так и	5	5
61	и прежде	2	5
62	не на	2	5
63	большинстве случаев	5	5
64	а не	2	5
65	на границах	3	5
66	должна быть	2	4
67	в ней	4	4
68	другой стороны	2	4
69	данном случае	2	4
70	в форме	2	4
71	которых мы	2	4
72	от всех	2	4
73	конечно и	4	4
74	сказать что	6	4
75	в то	6	4
76	о том	9	4
77	и потому	2	4
78	но в	8	4
79	но они	4	4
80	но конечно	2	4
81	в ее	5	4
82	всех его	4	4
83	как в	4	4
84	в романе	2	4
85	что не	3	4
86	между ними	3	4
87	в данном	3	4
88	более того	4	4
89	в себе	5	4
90	с миром	3	4
91	мы будем	3	3
92	и от	4	3
93	в дальнейшем	2	3
94	но это	3	3
95	же время	5	3
96	кроме того	9	3
97	одной стороны	4	3
98	например в	6	3
99	только его	2	3
100	хотя и	2	3
101	природы и	2	3
102	все это	11	3
103	с одной	4	3
104	они не	3	3
105	и даже	4	3
106	и на	9	3
107	все то	5	3
108	также и	6	3
109	и все	9	3
110	но здесь	2	3
111	как его	2	3
112	том что	7	3
113	говорить о	2	3
114	от него	2	3
115	все что	4	3
116	мы увидим	3	3
117	со всеми	2	3
118	одной из	3	3
119	не будем	2	3
120	он не	2	3
121	начало и	2	3
122	но с	2	3
123	с другими	3	3
124	на этом	2	2
125	не могут	2	2
126	и другие	2	2
127	в частности	2	2
128	в этих	2	2
129	что все	2	2
130	первый план	3	2
131	здесь же	2	2
132	связаны с	7	2
133	в значительной	2	2
134	что это	5	2
135	и у	2	2
136	изобразительных искусствах	3	2
137	в котором	4	2
138	в особенности	7	2
139	этом отношении	3	2
140	лишь в	2	2
141	и что	5	2
142	того что	3	2
143	дает нам	2	2
144	есть только	3	2
145	и те	2	2
146	к себе	2	2
147	в начале	3	2
148	во всем	5	2
149	в истории	2	2
150	о котором	4	2
151	как это	2	2
152	в него	3	2
153	с его	5	2
154	и во	2	2
155	вовсе не	7	2
156	на первый	3	2
157	что он	6	2
158	у нас	4	2
159	связи с	2	2
160	здесь в	9	2
161	в корне	2	2
162	должен быть	2	2
163	себя в	2	2
164	не остается	3	2
165	того чтобы	4	2
166	и он	5	2
167	и конец	2	2
168	или в	6	2
169	в изобразительных	3	2
170	тем что	5	2
171	в другом	4	2
172	и вообще	4	2
173	в таких	2	2
174	в чем	3	2
