N	2gram	Tiupa_Hudo_2	Problemy
1	и в	28	34
2	и не	18	29
3	как бы	5	27
4	что он	8	23
5	в его	11	22
6	может быть	8	19
7	в нем	3	19
8	не может	4	19
9	и все	7	19
10	о себе	3	18
11	как и	11	18
12	к себе	3	17
13	но в	2	16
14	все это	3	16
15	и его	5	16
16	в этом	13	16
17	и с	6	15
18	прежде всего	3	15
19	что я	2	15
20	он не	4	15
21	то же	6	14
22	с самим	2	14
23	к нему	3	14
24	самом деле	3	13
25	для него	5	13
26	т е	2	12
27	но и	9	12
28	же время	4	12
29	и к	2	12
30	потому что	2	12
31	в то	6	12
32	вовсе не	2	11
33	то что	6	11
34	не только	11	10
35	не в	13	9
36	самим собою	2	9
37	а не	14	9
38	героя и	3	9
39	никогда не	5	8
40	себя и	2	8
41	в самом	5	8
42	и т	4	8
43	так же	3	8
44	точки зрения	2	8
45	с ним	7	8
46	рассказа в	4	8
47	что же	2	8
48	и для	2	8
49	в другом	2	8
50	я не	7	7
51	что в	5	7
52	знает и	2	7
53	все же	2	7
54	на него	3	7
55	как мы	2	7
56	что не	2	7
57	как будто	4	7
58	что они	4	6
59	отношение к	2	6
60	что у	3	6
61	и на	3	6
62	с ними	3	6
63	с его	5	6
64	мы уже	3	6
65	для себя	6	6
66	отношению к	7	6
67	так и	8	6
68	т п	2	6
69	в себе	9	6
70	только в	4	6
71	он сам	2	5
72	все время	3	5
73	что это	5	5
74	это не	6	5
75	и от	2	5
76	к тому	7	5
77	и сам	5	5
78	из них	2	5
79	по отношению	7	5
80	лишь в	2	5
81	а в	6	5
82	в одном	3	5
83	что и	4	5
84	и у	2	5
85	ни одного	2	5
86	хотя бы	2	5
87	с другой	3	4
88	что все	3	4
89	да и	5	4
90	на этом	2	4
91	у него	5	4
92	при этом	11	4
93	рядом с	5	4
94	к чужому	3	4
95	его в	2	4
96	если бы	6	4
97	как раз	4	4
98	но не	4	4
99	еще не	3	4
100	бы и	4	4
101	как в	5	4
102	только на	5	4
103	в мире	7	4
104	с точки	2	4
105	с другими	3	4
106	тем что	6	4
107	в виде	2	4
108	и это	3	4
109	ничего не	5	4
110	вместе с	2	4
111	не менее	5	3
112	в том	15	3
113	в котором	6	3
114	с ее	5	3
115	жизни и	6	3
116	его и	2	3
117	для других	3	3
118	характер и	2	3
119	в ней	3	3
120	нуждается в	2	3
121	говорить о	2	3
122	как он	3	3
123	же я	2	3
124	не как	2	3
125	в ее	18	3
126	том что	19	3
127	между тем	8	3
128	не могу	3	3
129	он уже	2	3
130	сам не	2	3
131	в своей	6	3
132	а с	3	3
133	сводится к	6	3
134	и то	2	3
135	а между	4	3
136	это было	2	3
137	он знает	2	2
138	в человеке	3	2
139	не было	6	2
140	в душе	8	2
141	человек в	3	2
142	это уже	2	2
143	тому что	4	2
144	ибо в	2	2
145	о них	3	2
146	столь же	3	2
147	та же	2	2
148	или иной	2	2
149	она в	2	2
150	тем не	4	2
151	мы знаем	2	2
152	же и	2	2
153	все те	2	2
154	не является	2	2
155	один из	2	2
156	в своем	5	2
157	и только	2	2
158	т д	2	2
159	те же	2	2
160	того или	2	2
161	как на	2	2
162	теперь же	3	2
163	что даже	2	2
164	и ему	3	2
165	о том	12	2
166	сказать что	2	2
167	я и	6	2
168	а как	2	2
169	отнюдь не	2	2
170	однако в	2	2
171	мысли о	2	2
172	в них	3	2
173	в жизни	8	2
174	не с	2	2
175	у вас	4	2
176	говорит о	4	2
177	то в	4	2
178	но именно	2	2
179	было бы	3	2
180	бы с	2	2
181	раз в	3	2
182	к ней	2	2
183	о нем	2	2
184	тогда в	2	2
185	своего рода	16	2
186	среди других	3	2
187	и внутренне	2	2
188	бы не	3	2
189	тому же	2	2
190	уже не	10	2
191	и он	3	2
192	той же	2	2
193	тому как	4	2
194	с такою	2	2
195	пока еще	3	2
196	и об	2	2
197	подобно тому	4	2
198	и ее	3	2
199	внутренней жизни	4	2
200	будто бы	3	2
201	же не	2	2
202	все его	3	2
203	о чем	8	2
