N	2gram	Nazirov_Tv_2	Narrotol
1	не только	13	32
2	может быть	8	25
3	но и	8	23
4	и не	9	20
5	и в	20	19
6	то есть	5	19
7	в том	8	18
8	в этом	8	17
9	в частности	2	14
10	том что	4	14
11	не в	4	14
12	а не	6	12
13	своего рода	3	12
14	тогда как	3	12
15	то что	3	11
16	а в	4	11
17	не может	7	10
18	при этом	8	9
19	так и	6	9
20	в его	10	9
21	в мире	5	9
22	с другой	2	8
23	героя в	4	8
24	не является	3	8
25	в себе	3	8
26	как и	6	7
27	еще не	5	7
28	все же	5	7
29	как в	4	7
30	по отношению	3	7
31	что он	6	6
32	отношению к	3	6
33	но не	5	6
34	точка зрения	2	6
35	именно в	6	6
36	тем самым	4	6
37	о том	5	6
38	но в	4	6
39	отнюдь не	4	5
40	тому же	2	5
41	себя в	2	5
42	уже не	3	5
43	и его	9	5
44	в основе	2	5
45	в отличие	2	5
46	отличие от	2	5
47	в этой	5	5
48	за собой	4	4
49	точку зрения	2	4
50	прежде всего	8	4
51	в нем	3	4
52	у него	6	4
53	что не	3	4
54	то же	7	4
55	если не	4	4
56	же время	7	4
57	одной из	3	4
58	как бы	11	4
59	другой стороны	2	4
60	в принципе	4	4
61	не столько	2	4
62	в рассказе	3	4
63	только в	2	4
64	как правило	2	4
65	героя и	2	4
66	и с	8	4
67	же не	2	4
68	не менее	2	3
69	а с	3	3
70	жизни в	3	3
71	же как	3	3
72	что в	7	3
73	могут быть	2	3
74	никогда не	11	3
75	восходит к	2	3
76	уже в	2	3
77	а во	2	3
78	что они	4	3
79	одна из	3	3
80	хотя и	4	3
81	он не	3	3
82	и даже	5	3
83	один из	3	3
84	из них	2	3
85	когда он	4	3
86	в ее	2	3
87	на него	2	3
88	особенно в	2	3
89	сводится к	2	3
90	и он	2	3
91	и на	5	3
92	между тем	3	3
93	тем что	3	3
94	в то	10	3
95	включает в	2	2
96	бы не	2	2
97	он сам	3	2
98	зависит от	2	2
99	героя с	2	2
100	что у	4	2
101	или даже	2	2
102	быть может	3	2
103	личности в	2	2
104	в литературе	2	2
105	что на	2	2
106	у нее	3	2
107	как известно	2	2
108	для него	3	2
109	читателя в	5	2
110	например в	5	2
111	сути дела	3	2
112	наряду с	7	2
113	в область	3	2
114	и потому	4	2
115	для автора	2	2
116	и др	3	2
117	нет и	2	2
118	по сути	3	2
119	приводит к	2	2
120	так же	5	2
121	к самому	2	2
122	и только	2	2
123	не было	2	2
124	все эти	4	2
125	человека в	3	2
126	самом деле	2	2
127	одним из	3	2
128	главного героя	3	2
129	это не	7	2
130	роль в	2	2
131	в таком	3	2
132	не случайно	2	2
133	и ее	2	2
134	говорить о	2	2
135	его в	3	2
136	это все	2	2
137	ничего не	4	2
138	более не	2	2
139	к которому	2	2
140	таком случае	2	2
