N	2gram	Berdyaev_M_1	Dialekti
1	не есть	9	47
2	т е	2	30
3	и не	11	30
4	это –	16	23
5	может быть	30	20
6	и в	28	19
7	не только	29	19
8	а не	25	16
9	в себе	7	15
10	то что	5	14
11	в том	6	14
12	как бы	2	14
13	так как	3	14
14	потому что	16	14
15	но и	25	12
16	значит что	4	12
17	точки зрения	4	12
18	и все	10	12
19	как и	5	10
20	и как	2	10
21	в нем	13	10
22	том что	3	10
23	это не	5	10
24	сказать что	2	10
25	никогда не	14	9
26	– не	5	9
27	не может	28	9
28	личности в	2	8
29	прежде всего	10	8
30	это значит	3	8
31	она не	4	8
32	не в	16	8
33	это есть	3	8
34	в этом	20	8
35	в своей	15	8
36	есть не	4	7
37	и к	2	7
38	что в	10	7
39	должно быть	3	7
40	время как	2	7
41	как будто	2	7
42	что он	10	6
43	в то	2	6
44	но не	8	6
45	есть и	3	6
46	конечно не	3	6
47	он –	12	6
48	того что	7	6
49	жизни и	2	6
50	чтобы не	2	6
51	должна быть	6	5
52	по своему	2	5
53	в самом	11	5
54	и потому	10	5
55	что и	4	5
56	и это	12	5
57	и что	2	5
58	и его	9	5
59	только в	6	5
60	о том	2	5
61	и с	3	5
62	в виду	2	5
63	уже в	4	4
64	может не	2	4
65	и есть	14	4
66	в своем	10	4
67	не могут	5	4
68	в ее	3	4
69	все же	2	4
70	то время	2	4
71	к нему	7	4
72	за пределы	4	4
73	он не	24	4
74	хотя бы	3	4
75	ни с	4	4
76	все это	6	4
77	том смысле	2	4
78	и вот	3	4
79	и по	4	4
80	есть только	2	4
81	а в	4	4
82	одно из	3	4
83	могут быть	2	4
84	но он	9	4
85	в каком	2	4
86	и когда	2	4
87	по своей	2	4
88	как он	2	4
89	с ним	2	4
90	о чем	2	3
91	в этих	4	3
92	и от	2	3
93	вопрос о	2	3
94	ведь это	2	3
95	уже не	4	3
96	это и	4	3
97	в этой	6	3
98	было бы	10	3
99	и мы	2	3
100	себе и	2	3
101	не значит	2	3
102	есть религия	2	3
103	и их	3	3
104	с этим	3	3
105	не было	18	3
106	в той	2	3
107	от этого	2	3
108	в глубину	5	3
109	его с	2	3
110	будто бы	3	3
111	его в	3	3
112	когда мы	2	3
113	ничего не	3	3
114	все его	3	3
115	связана с	2	2
116	идей –	2	2
117	в конце	7	2
118	человека и	14	2
119	момент в	2	2
120	и жизнь	2	2
121	личности но	2	2
122	к тому	3	2
123	есть уже	4	2
124	мы видим	2	2
125	которая есть	3	2
126	в истории	2	2
127	с тем	9	2
128	есть что-то	2	2
129	и нет	2	2
130	до сих	2	2
131	он мог	2	2
132	личность и	2	2
133	в ней	15	2
134	сам не	2	2
135	сих пор	2	2
136	все в	6	2
137	себя в	3	2
138	в мире	10	2
139	только одно	3	2
140	все –	2	2
141	и я	5	2
142	был в	4	2
143	в их	4	2
144	что есть	5	2
145	как в	2	2
146	только и	3	2
147	и она	2	2
148	человеческой жизни	2	2
149	– все	3	2
150	его не	3	2
151	бы и	3	2
152	также и	2	2
153	не как	4	2
154	тем что	4	2
155	его личности	3	2
156	все эти	2	2
157	и человек	2	2
158	в которой	6	2
159	человека но	4	2
160	но в	7	2
161	– к	3	2
162	в жизни	3	2
163	вместе с	6	2
164	на этом	3	2
