N	3gram	Vinokur_Vv_1	EvropaiE
1	с точки зрения	2	16
2	в то же	5	15
3	то же время	5	14
4	с одной стороны	4	8
5	одной стороны и	3	6
6	в том что	12	6
7	для того чтобы	21	5
8	и в этом	3	4
9	не только в	4	4
10	само по себе	3	4
11	можно было бы	3	3
12	можно сказать что	3	3
13	хотя бы и	2	3
14	в этом отношении	3	3
15	в применении к	6	3
16	во всяком случае	3	3
17	в этом смысле	10	3
18	в известном смысле	3	3
19	по сравнению с	3	2
20	во второй половине	2	2
21	с течением времени	6	2
22	в данном случае	4	2
23	только в том	2	2
24	с другой стороны	5	2
25	как мы видели	2	2
26	не говоря уже	2	2
27	но в то	3	2
28	заключается в том	3	2
29	не может быть	8	2
