N	2gram	Tiupa_Anal_1	Myshleni
1	точки зрения	6	26
2	таким образом	3	26
3	в том	27	24
4	и в	18	23
5	том что	12	21
6	в целом	5	20
7	с точки	4	18
8	того чтобы	3	17
9	то что	6	17
10	в этом	13	17
11	не только	15	16
12	того что	4	15
13	для того	4	15
14	что в	5	14
15	может быть	29	14
16	но и	17	14
17	как и	13	14
18	в его	13	14
19	не может	22	12
20	как бы	5	11
21	представляет собой	16	11
22	с другой	4	10
23	прежде всего	6	10
24	в качестве	31	9
25	одной стороны	3	9
26	не является	2	9
27	другой стороны	2	9
28	и не	21	9
29	между тем	5	9
30	и с	2	9
31	вместе с	4	9
32	внутренней речи	5	9
33	в ходе	3	8
34	с одной	3	8
35	и на	5	8
36	в основе	6	8
37	в процессе	2	8
38	то же	9	8
39	вопрос о	2	7
40	как уже	2	7
41	в этой	5	7
42	в самом	6	7
43	по отношению	6	7
44	в то	9	7
45	так как	2	7
46	что он	3	7
47	отношению к	5	7
48	в другом	4	7
49	столь же	4	6
50	именно в	4	6
51	лишь в	5	6
52	могли бы	2	6
53	потому что	2	6
54	вопрос об	3	6
55	в силу	3	6
56	о том	5	6
57	в сущности	6	6
58	и его	5	6
59	в себе	11	6
60	только в	6	6
61	в какой	2	5
62	в собственном	3	5
63	из того	4	5
64	можно сказать	2	5
65	и как	5	5
66	по себе	4	5
67	для этого	2	5
68	что мы	3	5
69	и все	3	5
70	если бы	3	5
71	но в	8	5
72	и более	4	5
73	между собой	2	5
74	по своей	6	5
75	он не	3	5
76	так и	4	5
77	как мы	2	5
78	тем самым	7	5
79	тем более	2	5
80	но не	10	4
81	не в	14	4
82	при этом	12	4
83	в котором	3	4
84	все эти	2	4
85	не столько	2	4
86	этом отношении	2	4
87	с его	3	4
88	и к	3	4
89	было бы	2	4
90	к тому	7	4
91	для себя	2	4
92	должен быть	6	4
93	в своей	6	4
94	а с	3	4
95	хотя бы	3	4
96	ни в	4	4
97	этого слова	7	4
98	только для	2	3
99	из этих	2	3
100	одного из	2	3
101	на все	2	3
102	что именно	2	3
103	обратиться к	3	3
104	том чтобы	7	3
105	в их	5	3
106	который в	2	3
107	отношения к	2	3
108	вовсе не	2	3
109	же самое	2	3
110	как он	3	3
111	тогда когда	2	3
112	в новом	2	3
113	такой же	2	3
114	как известно	3	3
115	не могу	2	3
116	все же	4	3
117	не остается	2	3
118	остается ничего	2	3
119	же мере	2	3
120	самом деле	2	3
121	а не	17	3
122	из которых	4	3
123	и то	2	3
124	могут быть	4	3
125	такого анализа	2	3
126	в которой	2	3
127	в области	4	3
128	на вопрос	4	2
129	в противоположность	2	2
130	в частности	19	2
131	никогда не	2	2
132	в нашем	3	2
133	на этом	2	2
134	же время	6	2
135	для него	2	2
136	внешнего мира	2	2
137	несмотря на	2	2
138	один из	2	2
139	не с	4	2
140	не к	2	2
141	и до	2	2
142	данном случае	2	2
143	сведено к	2	2
144	той же	2	2
145	сознания в	4	2
146	быть сведено	3	2
147	должно быть	2	2
148	а в	9	2
149	что как	3	2
150	нуждается в	8	2
151	в первом	2	2
152	он может	2	2
153	которая в	3	2
154	есть не	8	2
155	за пределы	2	2
156	иначе говоря	9	2
157	и потому	2	2
158	в равной	3	2
159	даже в	3	2
160	как говорит	2	2
161	на примере	2	2
162	в двух	2	2
163	уже не	4	2
164	с другими	4	2
165	в данном	2	2
166	между двумя	3	2
167	все прочие	2	2
168	с двумя	2	2
169	вопроса о	3	2
170	представляют собой	2	2
171	едва ли	2	2
172	человека к	4	2
