N	2gram	Trubetskoy_1	Formalny
1	и в	26	38
2	в этом	15	27
3	может быть	10	23
4	таким образом	22	20
5	и не	8	20
6	в самом	4	16
7	прежде всего	2	15
8	не в	2	15
9	не может	4	14
10	в нем	4	13
11	но и	9	13
12	связи с	9	13
13	с его	2	11
14	с тем	18	11
15	в том	11	11
16	в его	5	10
17	в связи	3	10
18	с другими	4	10
19	и с	10	9
20	при этом	3	9
21	в процессе	2	9
22	не только	10	9
23	что и	6	8
24	все же	6	8
25	так и	6	8
26	точки зрения	13	8
27	что в	9	7
28	не могут	2	7
29	для него	3	7
30	по существу	2	7
31	в других	3	7
32	этом отношении	2	7
33	лишь в	5	7
34	уже не	3	7
35	с точки	6	7
36	не было	2	6
37	в результате	3	6
38	то что	7	6
39	в этой	4	6
40	вместе с	15	6
41	то же	4	6
42	все эти	6	6
43	а не	5	6
44	он не	4	6
45	только в	4	6
46	а в	4	6
47	хотя бы	3	6
48	в общем	8	5
49	если бы	3	5
50	что он	4	5
51	именно в	2	5
52	же время	2	5
53	во всех	2	5
54	и только	4	5
55	и для	5	5
56	в то	4	5
57	во всяком	6	5
58	всяком случае	6	5
59	по учению	3	4
60	как о	3	4
61	не как	2	4
62	к этому	3	4
63	к тому	6	4
64	мы видели	2	4
65	его от	2	4
66	как бы	12	4
67	и к	5	4
68	из них	7	4
69	что оно	4	4
70	и наконец	2	4
71	и даже	3	4
72	так как	9	4
73	но в	7	4
74	если в	3	3
75	же как	3	3
76	главным образом	8	3
77	с другой	8	3
78	из этих	10	3
79	и здесь	2	3
80	и как	3	3
81	но все	7	3
82	должно было	2	3
83	жизни и	2	3
84	быть и	2	3
85	все это	6	3
86	к нему	7	3
87	в значительной	3	3
88	того что	3	3
89	того чтобы	5	3
90	для того	5	3
91	между этими	2	3
92	особенно в	2	3
93	и на	2	3
94	и все	2	3
95	что это	3	3
96	в области	9	3
97	уже в	2	2
98	самого начала	2	2
99	и другие	3	2
100	подойти к	3	2
101	никогда не	5	2
102	состоит в	2	2
103	в этих	4	2
104	в качестве	3	2
105	для этого	2	2
106	в конце	6	2
107	представление о	6	2
108	тем и	2	2
109	что именно	2	2
110	с самого	3	2
111	том что	7	2
112	должна была	2	2
113	именно из	2	2
114	но не	8	2
115	и о	3	2
116	конце концов	3	2
117	в котором	4	2
118	один из	2	2
119	что о	2	2
120	не к	2	2
121	отношение к	5	2
122	приводит к	2	2
123	его не	2	2
124	то ни	2	2
125	превращается в	2	2
126	в эпоху	7	2
127	не имеет	5	2
128	и по	4	2
129	быть даже	2	2
130	в таком	3	2
131	нее не	2	2
132	сказать что	2	2
133	между тем	2	2
134	ничем не	4	2
135	он в	2	2
136	и от	4	2
137	совершенно иной	2	2
138	к его	2	2
139	ее с	2	2
140	и это	2	2
141	из этого	2	2
142	к сожалению	3	2
143	этими двумя	2	2
144	должен был	4	2
145	потому что	7	2
146	в которой	3	2
147	в виду	2	2
148	из него	2	2
