N	3gram	Vinokur_St_2	Vladivir
1	в том что	16	10
2	тем не менее	2	9
3	о том что	11	8
4	с точки зрения	2	6
5	вместе с тем	5	6
6	и в этом	2	5
7	дело в том	4	5
8	более или менее	2	5
9	к тому же	2	5
10	том что в	2	3
11	в отличие от	2	3
12	бы то ни	2	3
13	во всяком случае	3	3
14	то что в	2	3
15	совершенно так же	2	2
16	к тому что	5	2
17	так же как	3	2
18	иметь в виду	3	2
19	что в своем	3	2
20	на то что	2	2
21	с другой стороны	3	2
22	в этом отношении	9	2
23	обращает на себя	3	2
24	в это время	2	2
25	на себя внимание	2	2
