N	3gram	Voloshinov_2	Analitik
1	не может быть	10	16
2	в том что	6	9
3	в то же	8	8
4	в отличие от	3	6
5	то же время	8	6
6	той или иной	4	6
7	по отношению к	8	5
8	и не может	3	4
9	и не в	3	4
10	к тому же	2	4
11	с точки зрения	13	4
12	то ни было	4	3
13	а не в	2	3
14	бы то ни	4	3
15	в той или	3	3
16	в таком случае	3	3
17	с одной стороны	3	3
18	для того чтобы	6	3
19	о том что	3	3
20	того или иного	2	3
21	в самом деле	5	2
22	в коем случае	2	2
23	ни в коем	2	2
24	какой бы то	2	2
25	том что он	2	2
26	но в то	5	2
27	одного и того	4	2
28	то же самое	5	2
29	но и в	2	2
30	и того же	4	2
