N	2gram	Vygotskiy__4	formyVre
1	и в	20	46
2	в этом	24	22
3	прежде всего	2	14
4	и его	5	12
5	только в	10	11
6	не только	15	11
7	в том	42	10
8	как бы	7	10
9	точки зрения	24	10
10	но в	3	10
11	у него	2	9
12	не в	4	9
13	мы уже	5	9
14	вместе с	8	9
15	но и	9	9
16	и не	8	9
17	и для	4	9
18	в связи	3	8
19	связи с	3	8
20	как и	9	8
21	в его	11	8
22	то же	16	8
23	того чтобы	7	8
24	для того	5	8
25	с точки	11	8
26	потому что	12	8
27	из них	4	8
28	может быть	12	7
29	то что	15	7
30	так и	5	7
31	и на	6	7
32	никогда не	5	6
33	и во	3	6
34	при этом	12	6
35	как мы	13	6
36	еще не	2	6
37	его в	6	6
38	все же	5	6
39	те же	6	6
40	в основе	17	6
41	так как	10	6
42	и с	4	6
43	в частности	5	5
44	в своем	4	5
45	с этим	5	5
46	по существу	3	5
47	но не	3	5
48	в нем	2	5
49	что в	19	5
50	все эти	5	5
51	в смысле	4	5
52	и у	2	5
53	должно быть	3	5
54	место в	2	4
55	уже в	6	4
56	отнюдь не	3	4
57	с этой	4	4
58	из этих	2	4
59	том что	35	4
60	так что	3	4
61	что они	14	4
62	с другом	7	4
63	друг с	7	4
64	том же	2	4
65	уже говорили	2	4
66	как в	5	4
67	а не	7	4
68	и он	2	4
69	также и	2	4
70	их в	2	4
71	в себе	10	4
72	в истории	10	4
73	о том	5	4
74	том числе	2	3
75	мы будем	2	3
76	не является	5	3
77	того же	9	3
78	к этому	4	3
79	как уже	4	3
80	с помощью	31	3
81	к тому	6	3
82	на первый	4	3
83	что он	6	3
84	а затем	2	3
85	и как	9	3
86	это значит	2	3
87	в качестве	21	3
88	для него	2	3
89	тот же	9	3
90	в реальном	2	3
91	а также	2	3
92	что на	2	3
93	что и	9	3
94	слова и	5	3
95	целый ряд	5	3
96	и другие	9	3
97	таким образом	25	3
98	в совершенно	3	3
99	в их	12	3
100	здесь мы	2	3
101	того что	10	3
102	мы наблюдаем	2	3
103	а в	2	3
104	роль в	4	3
105	на основе	10	3
106	для других	2	3
107	тем что	7	3
108	же самое	7	3
109	в этих	3	3
110	в виду	3	3
111	на этом	3	2
112	все основные	2	2
113	и более	7	2
114	по своему	4	2
115	числе и	2	2
116	а потом	2	2
117	на котором	2	2
118	с другой	12	2
119	и других	3	2
120	это не	5	2
121	что все	3	2
122	первый план	4	2
123	очень часто	2	2
124	в историческом	2	2
125	в отношении	10	2
126	одновременно с	3	2
127	именно в	3	2
128	мы видим	10	2
129	в этой	3	2
130	с тем	6	2
131	между ними	4	2
132	было бы	8	2
133	со всеми	3	2
134	и к	5	2
135	наряду с	3	2
136	в сущности	4	2
137	словом и	4	2
138	один из	3	2
139	мы видели	6	2
140	этом случае	3	2
141	и т.п	2	2
142	опирается на	2	2
143	не может	6	2
144	здесь не	2	2
145	и только	4	2
146	если не	2	2
147	этом отношении	7	2
148	с одной	9	2
149	в той	2	2
150	тем же	4	2
151	так же	11	2
152	почти всегда	3	2
153	друг на	5	2
154	в данном	2	2
155	и от	3	2
156	мы имеем	2	2
157	могут быть	7	2
158	на друга	5	2
159	что здесь	2	2
160	ту же	2	2
161	не знает	2	2
162	далеко не	2	2
163	как он	4	2
164	и это	2	2
165	как это	9	2
166	во всяком	4	2
167	значит что	2	2
