N	2gram	Propp_Isto_7	EvropaiE
1	и в	24	37
2	точки зрения	4	23
3	что в	13	21
4	не только	21	18
5	в то	2	16
6	то же	8	15
7	в качестве	3	14
8	но и	11	14
9	и не	4	14
10	но в	5	14
11	в этом	12	12
12	в их	4	11
13	в том	7	11
14	так и	5	10
15	прежде всего	2	9
16	не может	14	9
17	т е	16	9
18	только в	6	9
19	так же	6	9
20	думать что	2	8
21	в ее	2	8
22	одной стороны	5	8
23	было бы	2	8
24	с одной	5	8
25	как и	6	7
26	между прочим	3	7
27	того что	6	7
28	с другой	9	7
29	так как	8	7
30	с этой	6	6
31	вовсе не	4	6
32	том что	10	6
33	стороны и	2	6
34	может быть	14	6
35	на то	3	6
36	как бы	4	6
37	то что	7	6
38	во всех	7	6
39	и даже	3	6
40	и на	2	6
41	же как	4	5
42	не в	9	5
43	но не	6	5
44	одной из	4	5
45	со стороны	2	5
46	как мы	3	5
47	и по	3	5
48	этой точки	3	5
49	вопрос о	3	4
50	в самом	2	4
51	к ней	2	4
52	для нас	6	4
53	мы не	4	4
54	не имеет	4	4
55	во многих	2	4
56	сказать что	2	4
57	тем более	2	4
58	как это	2	4
59	никогда не	4	3
60	в них	3	3
61	вообще не	2	3
62	и от	2	3
63	на себя	2	3
64	по своим	3	3
65	мы видели	7	3
66	представляет собой	4	3
67	мы можем	4	3
68	того же	2	3
69	связано с	3	3
70	из них	2	3
71	и тем	2	3
72	что и	8	3
73	говорит о	2	3
74	не будет	2	3
75	когда он	3	3
76	ее в	3	3
77	как в	12	3
78	она в	3	3
79	к ним	2	3
80	потому что	9	3
81	тем что	6	3
82	в данном	4	3
83	о том	9	3
84	там где	5	3
85	не могут	2	2
86	а не	8	2
87	в этих	13	2
88	с этим	2	2
89	и все	6	2
90	к нему	7	2
91	представление о	3	2
92	совершенно очевидно	2	2
93	и эта	2	2
94	это значит	2	2
95	в силу	2	2
96	не можем	2	2
97	участие в	2	2
98	что это	6	2
99	кажется что	3	2
100	и если	3	2
101	она не	2	2
102	нас к	2	2
103	он не	6	2
104	более поздние	2	2
105	в котором	2	2
106	если в	2	2
107	при помощи	3	2
108	вместе с	7	2
109	данном случае	3	2
110	а в	10	2
111	таким образом	7	2
112	случаях когда	4	2
113	а именно	6	2
114	и что	10	2
115	и наконец	3	2
116	на этот	2	2
117	другой стороны	8	2
118	происходит в	3	2
119	в других	4	2
120	мы видим	10	2
121	или в	8	2
122	в другой	3	2
123	прочим и	2	2
124	этот вопрос	2	2
125	что эти	2	2
126	хотя и	3	2
127	мы должны	4	2
128	его на	2	2
129	то не	4	2
130	тогда когда	3	2
131	но по	2	2
