N	2gram	Medvedev_U_1	Analitik
1	не только	10	22
2	и в	14	18
3	как и	3	14
4	в этом	7	14
5	но и	4	13
6	в частности	3	12
7	том что	2	12
8	и не	8	12
9	может быть	6	9
10	а не	10	9
11	в том	2	9
12	с его	2	8
13	не случайно	2	8
14	с другой	4	7
15	но не	2	7
16	в его	2	7
17	как раз	2	7
18	не в	2	6
19	для него	3	6
20	в этой	4	6
21	в их	4	6
22	в конце	2	5
23	прежде всего	8	5
24	в самом	2	5
25	что и	2	5
26	другой стороны	3	5
27	между тем	2	5
28	о чем	2	4
29	по крайней	2	4
30	в итоге	2	4
31	по себе	2	4
32	что он	2	4
33	не есть	2	4
34	крайней мере	2	4
35	все же	3	4
36	таким образом	2	4
37	не столько	2	3
38	было бы	3	3
39	же время	3	3
40	все это	5	3
41	то же	5	3
42	этом отношении	2	3
43	мы не	2	3
44	ничего не	2	3
45	в то	3	3
46	бы и	2	2
47	представляется нам	2	2
48	могут быть	2	2
49	для всех	2	2
50	конечном счете	4	2
51	все они	2	2
52	это не	3	2
53	не как	3	2
54	в противовес	2	2
55	очевидно что	3	2
56	или точнее	3	2
57	могли бы	2	2
58	нам представляется	2	2
59	в конечном	4	2
60	только к	3	2
61	то что	7	2
62	что она	2	2
63	не может	7	2
64	эстетического объекта	6	2
65	сводится к	2	2
66	самом деле	2	2
67	более чем	2	2
68	и для	2	2
69	тем что	2	2
70	в себе	2	2
71	в искусстве	6	2
72	что мы	2	2
73	только в	2	2
74	на эту	2	2
75	и т.д	3	2
76	вопроса о	2	2
77	но в	3	2
