N	2gram	Losev_Prob_1	Vvedenie
1	и т	11	42
2	т д	10	36
3	и в	32	32
4	в том	9	31
5	в этом	19	30
6	может быть	14	26
7	том что	12	26
8	не только	17	22
9	для того	8	21
10	того чтобы	9	20
11	таким образом	6	19
12	также и	11	18
13	то что	42	16
14	потому что	16	15
15	так как	11	15
16	не может	8	14
17	в самом	6	13
18	в нем	13	13
19	о том	11	13
20	того что	7	12
21	в их	4	12
22	и не	31	12
23	в его	6	12
24	только в	7	12
25	как мы	7	11
26	что такое	6	11
27	ясно что	3	11
28	в ее	3	11
29	в данном	9	11
30	что в	12	10
31	но в	14	9
32	и как	6	9
33	в истории	4	9
34	между тем	2	9
35	этом смысле	6	9
36	по себе	15	9
37	то же	10	9
38	не менее	19	8
39	с другой	3	8
40	это не	6	8
41	а только	5	8
42	тем не	18	8
43	не в	4	8
44	именно в	4	8
45	прежде всего	10	7
46	точки зрения	3	7
47	уже и	3	7
48	но не	9	7
49	было бы	8	7
50	как нечто	8	7
51	самом деле	6	7
52	можно было	3	7
53	не могут	2	6
54	из этих	2	6
55	до сих	3	6
56	смысле слова	7	6
57	один из	4	6
58	но и	9	6
59	все это	7	6
60	и даже	11	6
61	в то	6	6
62	его в	6	6
63	как он	4	6
64	с тем	5	6
65	вовсе не	35	6
66	как и	3	6
67	в качестве	2	6
68	сих пор	3	6
69	а именно	12	6
70	хотя бы	3	6
71	и его	3	6
72	тем что	7	6
73	и это	9	6
74	уже в	3	5
75	иное как	2	5
76	так что	6	5
77	она есть	5	5
78	на этот	3	5
79	но если	2	5
80	как бы	14	5
81	и тем	13	5
82	данном случае	8	5
83	другой стороны	3	5
84	в которых	3	5
85	сказать что	13	5
86	в них	7	5
87	об этом	10	5
88	по своему	9	5
89	есть и	3	5
90	или вообще	2	5
91	не есть	29	5
92	вместе с	2	5
93	а не	15	5
94	что не	3	5
95	могут быть	2	5
96	науки и	2	4
97	этом случае	2	4
98	особого рода	2	4
99	о чем	6	4
100	науки а	2	4
101	всяком случае	3	4
102	в котором	5	4
103	так или	2	4
104	здесь нет	2	4
105	еще и	5	4
106	не просто	23	4
107	и что	9	4
108	не имеет	2	4
109	а в	4	4
110	одно из	2	4
111	даже и	8	4
112	что иное	2	4
113	но ведь	3	4
114	в первом	2	4
115	как это	6	4
116	мы имеем	2	4
117	по крайней	2	4
118	что он	7	4
119	и заключается	2	4
120	не что	2	4
121	еще не	9	4
122	крайней мере	2	4
123	в своей	8	4
124	только что	2	4
125	как раз	13	4
126	это только	2	4
127	в виде	15	4
128	уже не	3	4
129	и для	4	4
130	или иначе	2	4
131	и то	6	4
132	во всяком	7	4
133	и ее	8	4
134	в себе	15	4
135	этого понятия	2	4
136	совсем не	4	3
137	он сам	2	3
138	сама по	4	3
139	что это	3	3
140	и есть	6	3
141	в этих	3	3
142	вообще не	2	3
143	в конце	6	3
144	а потому	2	3
145	можно сказать	5	3
146	к тому	3	3
147	что может	2	3
148	да и	3	3
149	и этого	2	3
150	но все	3	3
151	в этой	10	3
152	но что	2	3
153	при этом	6	3
154	такого рода	7	3
155	хотя и	6	3
156	именно как	4	3
157	в виду	6	3
158	себе что	2	3
159	к нему	3	3
160	и уже	3	3
161	на этой	2	3
162	из них	3	3
163	на том	4	3
164	что она	5	3
165	в своем	5	3
166	все эти	8	3
167	этой области	2	3
168	так же	9	3
169	и на	8	3
170	в результате	2	3
171	говорить о	6	3
172	при помощи	13	3
173	есть еще	3	3
174	нисколько не	3	3
175	если бы	4	3
176	однако в	2	3
177	не как	2	3
178	говорит о	3	3
179	чтобы понять	3	3
180	связи с	5	3
181	в чем	3	3
182	текст и	2	3
183	в сущности	2	3
184	текста и	5	3
185	а также	4	3
186	однако не	3	3
187	как оно	3	3
188	гораздо более	2	3
189	дело в	3	3
190	что же	9	3
191	в каком	3	3
192	и вообще	4	3
193	как будто	3	3
194	или как	3	3
195	в области	2	3
196	все время	2	2
197	же как	2	2
198	казалось бы	4	2
199	никогда не	7	2
200	тому что	4	2
201	для этого	3	2
202	в отношении	3	2
203	само собой	2	2
204	мы называем	2	2
205	точно так	4	2
206	чем больше	4	2
207	или иной	5	2
208	не нужно	3	2
209	в дальнейшем	4	2
210	это есть	9	2
211	но это	8	2
212	философии и	4	2
213	что если	2	2
214	тем или	3	2
215	несмотря на	3	2
216	из числа	2	2
217	обратить внимание	3	2
218	говоря уже	2	2
219	после этого	4	2
220	от других	2	2
221	не говоря	4	2
222	вообще и	4	2
223	смысле и	2	2
224	во внимание	2	2
225	в связи	4	2
226	мы говорим	3	2
227	не было	4	2
228	же касается	3	2
229	этого термина	4	2
230	именно на	3	2
231	этих случаях	3	2
232	действительности в	3	2
233	есть только	8	2
234	должно быть	2	2
235	по его	2	2
236	и с	2	2
237	и так	2	2
238	чем же	2	2
239	с этим	3	2
240	он и	8	2
241	той или	5	2
242	и здесь	6	2
243	действительности к	2	2
244	же самое	9	2
245	конце концов	4	2
246	искусства и	3	2
247	когда мы	8	2
248	и должно	2	2
249	так и	12	2
250	не существует	6	2
251	для них	2	2
252	по этому	3	2
253	направление в	2	2
254	есть не	6	2
255	о которых	3	2
256	у нас	14	2
257	по существу	2	2
258	и при	2	2
259	тем более	5	2
260	литературы и	4	2
261	учение о	3	2
262	того же	3	2
263	во всех	7	2
264	что мы	13	2
265	мы должны	5	2
266	мы уже	5	2
267	и до	2	2
268	одно целое	2	2
269	но уже	5	2
270	быть и	3	2
271	и сама	2	2
272	только на	4	2
273	что к	2	2
274	входит в	4	2
275	этому поводу	3	2
276	того как	3	2
277	хотя в	3	2
278	с точки	3	2
279	мы не	2	2
280	тому как	2	2
281	мы можем	4	2
282	подобно тому	2	2
283	как говорят	2	2
284	здесь не	7	2
285	ничего не	10	2
286	в нечто	2	2
287	что нет	2	2
