N	2gram	Nazirov_Tv_1	PoTuStor
1	может быть	5	17
2	и в	21	16
3	прежде всего	4	9
4	таким образом	5	9
5	в этом	6	9
6	и его	6	8
7	и с	3	8
8	не может	4	8
9	с его	11	7
10	сказать что	2	7
11	не только	7	7
12	самом деле	2	6
13	для него	6	6
14	при этом	7	6
15	я и	3	6
16	в чем	2	5
17	как бы	17	5
18	в него	2	5
19	с самого	3	4
20	самого начала	3	4
21	в нем	3	4
22	отнюдь не	5	4
23	но и	3	4
24	так и	2	4
25	все это	10	4
26	хотя бы	5	4
27	и все	6	4
28	мысли и	4	4
29	так как	3	4
30	и не	7	4
31	на самом	3	4
32	можно сказать	2	4
33	и наконец	2	4
34	и даже	3	4
35	и на	7	4
36	в этой	5	4
37	с ее	3	4
38	только в	5	4
39	в один	2	4
40	но в	7	4
41	в его	13	4
42	в этих	2	3
43	что в	12	3
44	жизни и	3	3
45	могут быть	2	3
46	вместе с	2	3
47	и притом	2	3
48	крайней мере	2	3
49	в том	7	3
50	а в	6	3
51	том что	11	3
52	и как	4	3
53	то что	8	3
54	в основе	2	3
55	по крайней	2	3
56	только на	2	3
57	в основном	4	3
58	в конечном	4	3
59	не существует	3	2
60	не менее	6	2
61	ее в	3	2
62	один из	4	2
63	что и	2	2
64	не будет	2	2
65	конечном счете	4	2
66	в частности	2	2
67	никогда не	3	2
68	что не	2	2
69	того же	2	2
70	во всей	2	2
71	в жизни	2	2
72	то же	13	2
73	быть может	2	2
74	к этому	2	2
75	не знает	2	2
76	и других	3	2
77	что он	6	2
78	в одно	2	2
79	у него	7	2
80	и по	3	2
81	как и	12	2
82	так же	3	2
83	но это	5	2
84	он не	8	2
85	на протяжении	3	2
86	ту же	3	2
87	со всеми	3	2
88	о том	6	2
89	в самом	3	2
90	в своей	4	2
91	с ним	3	2
92	в мир	2	2
