N	2gram	Losev_Vlad_2	EvropaiE
1	и в	30	37
2	в отношении	3	32
3	точки зрения	7	23
4	что в	12	21
5	не только	12	18
6	с точки	3	17
7	в то	9	16
8	хотя бы	3	15
9	то же	4	15
10	в своем	8	14
11	же время	3	14
12	но и	8	14
13	и не	18	14
14	но в	8	14
15	в этом	20	12
16	в их	2	11
17	в том	18	11
18	в области	3	11
19	с и	2	10
20	так и	5	10
21	прежде всего	6	9
22	не может	9	9
23	в себе	6	9
24	только в	6	9
25	так же	4	9
26	к тому	2	8
27	было бы	9	8
28	в своей	5	8
29	как и	5	7
30	по своему	2	7
31	нам кажется	3	7
32	между прочим	7	7
33	того что	5	7
34	а также	10	7
35	также и	6	7
36	так как	5	7
37	с этой	4	6
38	вовсе не	4	6
39	том что	12	6
40	может быть	7	6
41	для того	2	6
42	на то	2	6
43	как бы	5	6
44	в последние	2	6
45	то что	20	6
46	во всех	3	6
47	того чтобы	2	6
48	и даже	10	6
49	и на	4	6
50	то есть	7	6
51	в частности	2	5
52	не в	9	5
53	но не	3	5
54	со стороны	4	5
55	как мы	11	5
56	в той	2	5
57	в течение	5	5
58	и по	2	5
59	в виде	3	5
60	в россии	3	5
61	и потому	2	5
62	именно в	4	4
63	можно сказать	4	4
64	само по	2	4
65	несмотря на	4	4
66	в самом	2	4
67	то в	5	4
68	в ней	4	4
69	к ней	3	4
70	даже в	2	4
71	по себе	5	4
72	для нас	7	4
73	не на	2	4
74	мы не	2	4
75	и притом	2	4
76	не имеет	2	4
77	во многих	2	4
78	сказать что	11	4
79	тем более	3	4
80	как это	7	4
81	и к	6	3
82	с тем	2	3
83	уже и	2	3
84	никогда не	7	3
85	жизни в	2	3
86	в них	3	3
87	и от	2	3
88	в общем	2	3
89	мы видели	2	3
90	в свою	3	3
91	того же	5	3
92	и мы	4	3
93	всяком случае	6	3
94	что и	3	3
95	во второй	2	3
96	время в	4	3
97	как в	3	3
98	последние годы	3	3
99	и для	3	3
100	и прежде	2	3
101	в таком	3	3
102	можно было	2	3
103	в результате	5	3
104	потому что	9	3
105	во всяком	6	3
106	в будущем	2	3
107	себе в	2	3
108	в данном	3	3
109	россии и	2	3
110	о том	4	3
111	дело в	3	3
112	он сам	2	2
113	а не	7	2
114	в этих	4	2
115	еще более	3	2
116	с в	4	2
117	и во	2	2
118	с этим	5	2
119	и все	7	2
120	к нему	2	2
121	и ту	2	2
122	и можно	2	2
123	же в	2	2
124	и как	3	2
125	это значит	2	2
126	что если	2	2
127	свою очередь	2	2
128	или по	2	2
129	что это	4	2
130	кажется что	2	2
131	не говоря	3	2
132	и если	4	2
133	она не	2	2
134	эти последние	4	2
135	именно к	3	2
136	россия и	5	2
137	он не	4	2
138	в его	11	2
139	в котором	5	2
140	говоря уже	2	2
141	не есть	4	2
142	с а	4	2
143	только одно	3	2
144	жизни и	6	2
145	наряду с	2	2
146	вместе с	8	2
147	данном случае	2	2
148	второй половине	2	2
149	что же	8	2
150	а в	11	2
151	таким образом	3	2
152	начиная с	2	2
153	а именно	6	2
154	заключается в	2	2
155	и что	5	2
156	ко всему	4	2
157	и наконец	4	2
158	на этот	4	2
159	прочим и	2	2
160	в своих	2	2
161	что эти	2	2
162	и с	14	2
163	хотя и	6	2
164	к той	2	2
165	в этой	4	2
166	и то	5	2
167	как будто	2	2
168	мы должны	4	2
169	его на	3	2
170	которое в	2	2
171	тогда когда	2	2
172	но по	2	2
