N	2gram	Propp_Morf_1	EvropaiC
1	таким образом	21	32
2	в том	6	31
3	и в	13	24
4	том что	4	20
5	все эти	2	19
6	не может	14	18
7	то что	8	17
8	может быть	52	15
9	все же	7	15
10	точки зрения	2	13
11	самом деле	4	12
12	в этом	14	12
13	между тем	5	11
14	с этим	11	11
15	отношению к	4	10
16	как бы	3	10
17	по отношению	4	10
18	во всех	4	10
19	так и	6	10
20	на то	2	9
21	в результате	7	9
22	как и	3	9
23	что в	8	9
24	не в	3	8
25	так же	3	8
26	если бы	2	8
27	ясно что	5	8
28	а и	3	8
29	с точки	2	8
30	не менее	5	7
31	к тому	4	7
32	но и	4	7
33	и не	12	7
34	и что	2	7
35	о том	2	7
36	что он	4	7
37	по существу	12	7
38	или менее	2	7
39	на самом	4	7
40	того чтобы	3	7
41	для того	2	7
42	более или	2	7
43	с другой	8	6
44	в этой	2	6
45	несмотря на	4	6
46	того что	3	6
47	так как	16	6
48	еще не	3	6
49	что и	7	6
50	тогда как	2	6
51	мы можем	2	6
52	только в	2	6
53	в целом	3	5
54	и их	2	5
55	другой стороны	4	5
56	потому что	3	5
57	его в	2	5
58	между собою	2	5
59	но в	2	5
60	к этому	3	5
61	и к	4	5
62	в то	3	5
63	по своему	2	5
64	что при	2	5
65	не только	4	5
66	быть и	2	5
67	и для	2	5
68	но все	3	5
69	как будто	2	5
70	далеко не	5	5
71	в которой	3	5
72	на вопрос	2	4
73	не могут	4	4
74	самого себя	2	4
75	та же	2	4
76	этом случае	8	4
77	тем не	5	4
78	что его	2	4
79	хотя и	3	4
80	из них	3	4
81	между собой	4	4
82	связи с	10	4
83	мы должны	3	4
84	он не	3	4
85	что эта	2	4
86	то же	7	4
87	а с	2	4
88	если мы	5	4
89	в в	2	4
90	из которых	3	4
91	хотя бы	4	4
92	в виде	2	4
93	мы будем	3	3
94	в нашем	3	3
95	в этих	13	3
96	вопрос о	7	3
97	в тех	6	3
98	для нас	2	3
99	в настоящее	3	3
100	от того	3	3
101	целый ряд	3	3
102	то ни	3	3
103	и по	2	3
104	а в	7	3
105	это не	6	3
106	в начале	3	3
107	настоящее время	3	3
108	что мы	2	3
109	при помощи	9	3
110	с тем	2	3
111	можно назвать	3	3
112	прежде всего	9	3
113	у нас	2	3
114	только что	2	3
115	случаях когда	2	3
116	рассматриваться как	2	3
117	в связи	9	3
118	то они	2	3
119	независимо от	3	2
120	в частности	2	2
121	себя и	2	2
122	тому что	4	2
123	что эти	2	2
124	как мы	6	2
125	и z	2	2
126	что они	2	2
127	заметим что	2	2
128	на этом	3	2
129	к нему	3	2
130	но для	2	2
131	но если	7	2
132	всяком случае	2	2
133	вступают в	3	2
134	бы то	3	2
135	что она	2	2
136	ни было	2	2
137	во втором	3	2
138	для этой	3	2
139	в которых	2	2
140	но как	2	2
141	говорить о	3	2
142	в один	3	2
143	также и	4	2
144	во всяком	2	2
145	представляет собою	6	2
146	друг к	2	2
147	он должен	2	2
148	вовсе не	4	2
149	на первый	3	2
150	а затем	4	2
151	то в	3	2
152	одна из	4	2
153	но не	4	2
154	тех же	4	2
155	она не	2	2
156	было бы	3	2
157	не от	2	2
158	никто не	3	2
159	в сущности	3	2
160	к другу	2	2
161	на него	3	2
162	что же	2	2
163	то с	2	2
164	в отдельных	3	2
165	этот вопрос	2	2
166	и ее	3	2
167	в другом	2	2
168	ту же	2	2
169	если это	3	2
170	если же	5	2
