N	2gram	Losev_Dial_2	Analitik
1	может быть	20	29
2	в том	14	27
3	не может	9	22
4	и не	30	21
5	в частности	2	19
6	и в	19	18
7	а не	16	17
8	но и	12	17
9	отнюдь не	6	15
10	не только	19	15
11	не в	8	14
12	как и	10	13
13	в этом	8	13
14	том что	10	12
15	при этом	4	12
16	в себе	15	11
17	но не	6	10
18	то же	12	9
19	а в	4	9
20	в то	6	9
21	в мире	2	8
22	есть не	7	8
23	не есть	47	8
24	в той	3	8
25	нуждается в	3	8
26	но в	2	8
27	к тому	2	7
28	времени и	9	6
29	это не	10	6
30	прежде всего	8	6
31	же время	5	6
32	в самом	5	6
33	в сущности	2	6
34	себя в	2	6
35	той или	4	6
36	то что	14	6
37	в своей	8	6
38	точки зрения	12	6
39	по своей	4	6
40	только в	5	6
41	мы имеем	3	6
42	я и	2	6
43	и как	10	5
44	в этой	3	5
45	что в	7	5
46	как бы	14	5
47	в их	2	5
48	и его	5	5
49	между тем	2	5
50	что иное	3	5
51	о том	5	5
52	иное как	3	5
53	того что	6	4
54	и более	3	4
55	могут быть	4	4
56	с другой	5	4
57	по себе	18	4
58	не что	3	4
59	ни в	10	4
60	в широком	2	4
61	субъекта и	4	4
62	в области	2	4
63	все же	4	4
64	вместе с	2	4
65	так и	10	4
66	во времени	4	4
67	собственно говоря	2	4
68	именно в	2	4
69	уже не	3	4
70	с точки	8	4
71	в другом	4	4
72	с ним	4	4
73	смысла и	2	3
74	не могут	4	3
75	и есть	4	3
76	хотя бы	4	3
77	и все	12	3
78	личности в	8	3
79	в нем	10	3
80	и к	7	3
81	что он	6	3
82	и т	17	3
83	в силу	5	3
84	как известно	2	3
85	еще не	4	3
86	что не	6	3
87	он не	4	3
88	если в	2	3
89	даже в	3	3
90	дело не	2	3
91	что и	5	3
92	вопрос об	4	3
93	не будет	2	3
94	ни с	4	3
95	а именно	5	3
96	смысл и	2	3
97	таким образом	4	3
98	с одной	2	3
99	того или	2	3
100	к нему	4	3
101	в таком	4	3
102	мере в	2	3
103	т п	2	3
104	того и	2	3
105	как будто	7	3
106	что мы	2	3
107	будто бы	3	3
108	как он	4	3
109	таком случае	3	3
110	в противоположность	2	2
111	может иметь	3	2
112	и то	7	2
113	только не	2	2
114	на все	2	2
115	никогда не	9	2
116	все эти	2	2
117	реальности и	2	2
118	и внешнего	2	2
119	но о	2	2
120	в какой	2	2
121	тогда когда	6	2
122	не просто	12	2
123	была бы	3	2
124	вовсе не	13	2
125	вопрос о	3	2
126	бы ни	2	2
127	можно сказать	5	2
128	тех или	2	2
129	в искусстве	2	2
130	и потому	5	2
131	только через	2	2
132	должно быть	7	2
133	это как	3	2
134	с целью	2	2
135	или не	2	2
136	было бы	3	2
137	несмотря на	2	2
138	на его	2	2
139	и та	6	2
140	за пределы	4	2
141	не могу	6	2
142	она есть	9	2
143	понимать как	3	2
144	внутреннего и	2	2
145	сами по	3	2
146	широком смысле	2	2
147	он может	2	2
148	из них	3	2
149	не говоря	2	2
150	данном случае	2	2
151	что же	2	2
152	и тогда	3	2
153	другой стороны	4	2
154	на этом	2	2
155	личность в	2	2
156	на самом	2	2
157	самом деле	4	2
158	и по	4	2
159	следует что	2	2
160	как мы	3	2
161	в акте	2	2
162	также и	2	2
163	личности а	2	2
164	в личности	4	2
165	в данном	3	2
166	же самое	2	2
167	личность есть	11	2
168	так как	14	2
169	силу своей	2	2
170	потому что	14	2
171	в которой	2	2
172	и с	5	2
173	мире и	2	2
