N	2gram	Vygotskiy__5	Problema
1	и в	16	30
2	в своей	2	22
3	то что	26	18
4	не только	16	18
5	том что	15	17
6	в этом	25	17
7	и даже	2	14
8	но и	6	13
9	таким образом	19	13
10	потому что	21	13
11	в том	18	12
12	в его	11	12
13	и не	12	12
14	о том	8	12
15	в своем	5	11
16	у него	6	11
17	так что	4	11
18	точки зрения	18	10
19	в этой	6	10
20	все же	3	9
21	сказать что	13	9
22	но в	6	9
23	только в	10	9
24	вовсе не	2	8
25	никак не	3	8
26	с точки	9	8
27	никогда не	5	7
28	что он	25	7
29	у нас	2	7
30	как и	8	7
31	связи с	3	7
32	но не	10	7
33	может быть	9	7
34	вместе с	4	7
35	так и	7	7
36	говорит о	3	7
37	не в	6	7
38	в результате	4	7
39	с другой	4	6
40	прежде всего	3	6
41	можно сказать	5	6
42	и как	3	6
43	как бы	5	6
44	в нем	7	6
45	что и	3	6
46	другой стороны	2	6
47	и что	12	6
48	а в	3	6
49	и его	3	6
50	и на	6	6
51	его в	2	6
52	так как	16	6
53	не менее	3	5
54	с тем	3	5
55	что в	16	5
56	что у	2	5
57	в которой	5	5
58	в силу	10	5
59	так же	15	5
60	в самом	4	5
61	и их	4	5
62	еще в	3	5
63	не может	18	5
64	а не	10	5
65	и то	4	5
66	но он	7	5
67	того как	5	5
68	и с	3	5
69	мы можем	6	5
70	еще и	3	4
71	в частности	3	4
72	тогда когда	5	4
73	в смысле	3	4
74	но все	2	4
75	при этом	4	4
76	того же	7	4
77	было бы	10	4
78	в качестве	4	4
79	а с	2	4
80	и к	2	4
81	в то	5	4
82	из этого	2	4
83	учение о	2	3
84	именно в	4	3
85	и другие	2	3
86	еще более	5	3
87	в отношении	9	3
88	но только	2	3
89	перейти к	3	3
90	же в	2	3
91	что они	5	3
92	тот же	5	3
93	знает что	2	3
94	то время	4	3
95	указывает на	2	3
96	как будто	2	3
97	еще не	4	3
98	одной стороны	3	3
99	для того	14	3
100	он не	8	3
101	и тем	3	3
102	с одной	3	3
103	того что	16	3
104	к нему	3	3
105	время как	4	3
106	в ней	2	3
107	он в	3	3
108	в другом	6	3
109	и другое	4	3
110	с ним	5	3
111	в одном	3	3
112	в виду	2	3
113	только для	2	2
114	я не	2	2
115	не могут	4	2
116	мы будем	2	2
117	и более	3	2
118	в них	2	2
119	в какой	6	2
120	хотя бы	5	2
121	как в	5	2
122	это не	4	2
123	с этой	4	2
124	если он	2	2
125	к этому	3	2
126	по себе	7	2
127	к тому	6	2
128	то же	8	2
129	как мы	10	2
130	по существу	3	2
131	мы и	5	2
132	в свою	4	2
133	мы выше	2	2
134	до сих	3	2
135	со всеми	2	2
136	по поводу	2	2
137	жизни и	2	2
138	на его	2	2
139	вслед за	2	2
140	и является	3	2
141	в котором	2	2
142	отношению к	12	2
143	из них	2	2
144	в первой	2	2
145	когда он	2	2
146	ее в	3	2
147	все что	2	2
148	отношение к	11	2
149	по отношению	12	2
150	то и	2	2
151	все эти	4	2
152	почему в	2	2
153	с помощью	10	2
154	мы не	3	2
155	они не	3	2
156	самом деле	3	2
157	того чтобы	17	2
158	можно было	5	2
159	сознательно и	3	2
160	во всяком	2	2
161	больше чем	3	2
162	между тем	3	2
163	что только	2	2
164	тем что	5	2
165	мере в	5	2
166	как с	3	2
167	обстоятельство что	2	2
168	по своей	3	2
169	его на	2	2
170	в чем	3	2
171	в области	12	2
172	ничего не	5	2
173	не то	4	2
174	сих пор	3	2
